File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Shooting001_x264.mp4,a few armed men walk in and start shooting,man with a gun in his hand fire his pistol,two armed men enter a store and shoot,there is a shooting in the room by a man with a gun,a man with a gun fires a shot with pistol
Shooting002_x264.mp4,the group of men ran away after the gun was shot,a man fires his gun and runs away,a bullet was fired by a man,a few men run away after someone fired his gun,a man was shooting his gun at other men
Shooting003_x264.mp4,some soldiers chase a man and shoot him,a man tried to run away but got shot,armed men point their guns at a man after he was shot ,soldiers were shooting at a man trying to escape,a man got shot while being chased by some men
Shooting004_x264.mp4,a police officer shot a man,a man fell on the ground after being shot at,the person got shot by a police officer,a man got hit in the shooting by a policeman,police officer shot a man after chasing him
Shooting005_x264.mp4,a police officer fires his gun,a policeman comes out of the house while shooting,policemen arrive at the place of shooting,three men with guns look for a shooter,policeman fires his gun after coming out of the house
Shooting006_x264.mp4,there is a shooting in the supermarket,a man shot people at the store and ran away,the shooter leaves the store after shooting a man,a man got shot multiple times in the shop,man in a sweatshirt ran off after shooting several times
Shooting007_x264.mp4,kids shoot guns in the ground,people in the ground have guns,a kid shoots his gun in the park,people are walking with guns,two kids walk with guns and one fires it
Shooting008_x264.mp4,a man shoots several times during a robbery,robbery at a supermarket leads to shooting,two men in the store have guns during a robbery,there is a shooting at the store while it is robbed,a store is being robbed and two men fire their guns
Shooting009_x264.mp4,a drunk man trashes the atm,a man destroys the atm,two people come in the atm and break things,a drunk man breaks things in the atm,atm is destroyed by two men
Shooting010_x264.mp4,a thief tries to rob a man and gets shot,person in the car shoots the thief,thief pulls a gun on a man but gets shot instead,person comes out of the car to shoot the man,a man got shot while trying to rob the man in the car
Shooting011_x264.mp4,robbers rob a store at gun point but get shot,policemen arrive at the robbery and shoot the thieves,the thieves get shot when police arrives at the store,robbers were taking the money when they got shot,two people get shot by the people in a robbery
Shooting012_x264.mp4,some men try to rob a women but get shot at,a man is shooting the thieves,thieves run away when a men starts shooting,a few thieves in masks attempt to rob but get shot,the person in the house chases away the thieves
Shooting013_x264.mp4,man in a hoodie fires his gun,a man waiting at the front step fires his gun,the shooter runs away after firing his gun,a man standing on the front porch starts shooting,the person in a hoodie shoots towards the door
Shooting014_x264.mp4,a robber tries escaping from the store but gets shot,two security guards shoot a thief,a man gets shot while robbing the shop,a thief gets shot by two security guards,guards shoot a man to stop him from running away
Shooting015_x264.mp4,a man abuses a police officer and gets shot,policemen shoot a man who tried to abuse an officer,policemen get out the car to shoot the man fighting,a man was fighting with the officer and gets shot,a person got shot on the road by some policemen
Shooting016_x264.mp4,two men on a bike shoot a person and run away,two shooters flee from the scene after shooting,a man got shot by two people on their bike,two men run away on their bike after shooting a person,a man got shot in a shooting on the road
Shooting017_x264.mp4,three men escape a shooting,three men were shot at in a room,someone fired bullets at some people sitting in a room,the men try to run away as they were getting shot at,someone started shooting towards the people in a room
Shooting018_x264.mp4,man in a hoodie gets shot at,there is a shooting at the supermarket,a person shoots at a man in the store,the shooter stands by after shooting a guy,the guy in the store is shot by another customer
Shooting019_x264.mp4,a man chases away some people by shooting,two people engage in cross fire and one runs away,a man shoots at two people from behind the car,the shooter hides behind the car and shoots at guys,people run away because of the shooting
Shooting020_x264.mp4,a man runs around in the store shooting people,the shooter is killing people in the supermarket,man with a gun starts shooting people,a man is running in the store while shooting,people get shot at in the shop
Shooting021_x264.mp4,a man gets out of the car and shoots the thieves,a few men enter a garage but get shot at,the thieves run away when the man started shooting,a man starts shooting people in his garage,the shooter chases away the thieves from his garage
Shooting022_x264.mp4,two men exchange bullets in a room,a man gets shot at during firing and people leave,two people leave after robbing the place and shooting,a man shoots another man down and leaves,firing occurs at a store and the robbers leave
Shooting023_x264.mp4,someone starts shooting in a gathering,a few people run away after someone shot a gun,people got scared because of the shooter,people run away scared due to the shooting,shooting happens in a crowded place
Shooting024_x264.mp4,man in a white tshirt shoots at some robbers,masked men with guns leave the shop after looting it,a man shoots through a glass window during a robbery,a man shoots and two men with guns leave the shop,shop owner tries to stop the robbers by shooting 
Shooting025_x264.mp4,a man gets out of a black car and starts shooting,shooter gets his gun from the car to shoot a man,two people engage in cross firing in a basement,a person ran away after the shooter started shooting,a man gets his gun from the car to chase away a person
Shooting026_x264.mp4,a man shoots several times and runs away,man starts shooting on the front porch of a house,shooter runs away after firing many shots,shooter standing on the door starts shooting,a man with a gun fires shots with his pistol
Shooting027_x264.mp4,a man chases two people away by shooting,a man fires multiple shots from his home,two people ran away from the house after the shooting,people get scared from the shooter and run away,a man keeps shooting at someone from his front door
Shooting028_x264.mp4,two robbers get shot at by shopkeepers,the shopkeeper shoots two people with guns,man in the store shoots down the robbers,people try to rob the store but get shot,shopkeeper has a gun and he fires it at the thieves
Shooting029_x264.mp4,a policeman points his gun at someone,the officer has a gun in his hand,a person is held at gunpoint by the police,the police officer pulls his gun on someone,policeman is pointing his gun at someone
Shooting030_x264.mp4,a man was shot in the chest by the thief,a person sitting in his office is shot at,the shooter kills a man to rob the place,man starts shooting someone before robbing the place,a man is shot in the chest by a robber
Shooting031_x264.mp4,people start running away after an attempted robbery,a few men with guns cover their faces to rob the place,two shooters enter a building and start shooting,two men with guns start shooting to rob the place,people run out of the building as robbers start shooting
Shooting032_x264.mp4,a man is being shot at,a person fell on the ground after being shot,a person shoots someone at the entrance,man with a gun shoots someone on the road,the shooter leaves after firing his gun at a man
Shooting033_x264.mp4,two men on a bike rob a woman and shoot a man,a woman and a man got shot at by a robber,the shooter runs away after robbing the woman,the shooter fires his gun to rob the woman and escape,a man gets off the bike to rob the woman and runs away
Shooting034_x264.mp4,a man gets out of the car to shoot,a man shoots at another car on the traffic light,a man gets out of the car and starts shooting,the shooter fires his gun at another car,a car is getting shot at the traffic light
Shooting035_x264.mp4,a masked shooter shoots at the red car,a man wearing mask gets out of the car to shoot,a person from white car shoots at the red car,the masked person gets in the car after shooting,the white car leaves after a man shoots the red car
