Robbery001_x264.mp4,Two men in helmets rob a store,A man in orange helmet points a knife at the shopkeeper.,Two men try to rob the shopkeeper.,Shopkeeper pulls out a stick and chases the men.,Two men in helmets run away from the shop.
Robbery002_x264.mp4,Man in a hoodie robs a store.,Man points a gun at the shopkeeper.,A store is being robbed by a man.,Shopkeeper puts money in a bag.,A man walks out of a store with the money he robbed.
Robbery003_x264.mp4,Man robs a store.,A man pulls out a shotgun.,Man points a shotgun at the shopkeeper.,The shopkeeper gives the man all the money.,A man walks out of the store with the robbed money.
Robbery004_x264.mp4,Store is robbed by man in mask.,A man points gun at shopkeeper.,A person with a gun robs the store.,The cashier takes out the money from behind the counter.,A robber takes the money from the counter.
Robbery005_x264.mp4,Man in a blue hoodie robs a store.,A man in hoodie points a gun at the cashier.,A person with a gun asks for money.,The cashier gives money to the robber.,A person robs the shop for money.
Robbery006_x264.mp4,Armed robber walks into the shop.,The robber points a gun.,Robber holds a man hostage.,Shopkeeper pulls out a bat to fight the robbers. ,A fight happened between the shopkeeper and the robber.
Robbery007_x264.mp4,A man in a hoodie walks in with a gun.,The the cashier is robbed by an armed man.,A man pulls out his gun to rob.,The cashiers give robber all the money.,The robber takes money from the shop.
Robbery008_x264.mp4,Three men in hoodies walk-in in a shop.,The store is robbed by three men in hoodies.,Men having weapons try to rob.,There is a fight between the shopkeepers and the robbers.,A few robbers take the store’s items.
Robbery009_x264.mp4,Two men in jackets walk in.,Men point guns at the cashier.,The cashier moves away because of the thieves.,Men rob the store for money.,A store is robbed by armed men.
Robbery010_x264.mp4,Two men with guns rob bank.,A bank is robbed by armed men.,A gun is being pointed at the cashier.,The cashier gives robbers all the money.,Some robbers take money from the employee and leave.
Robbery011_x264.mp4,The man in a helmet robs the shop.,A man points a gun at shopkeepers.,The person takes money from the shopkeeper.,Two men in helmets take the money.,A store is robbed by two armed men wearing helmets.
Robbery012_x264.mp4,Store is robbed by armed man.,Man with the gun takes money from the cashier.,Man points his gun at the cashier.,The cashier gives robber all the money.,A robber walks out with all the money.
Robbery013_x264.mp4,Man in black clothes robs a store.,Robber points a gun at the shopkeeper.,Shopkeeper opens the cash register for the thieves.,Robber robs the cash register.,Money is taken from the cash register by the robber.
Robbery014_x264.mp4,Three armed men in kurtas walk into a bank.,A few men withdraw their guns.,A few men point their guns at everyone to rob.,Robbers take the money from the bank.,A bank is robbed by some armed men in white clothes.
Robbery015_x264.mp4,Two men in masks come to rob a bank.,Some people attack the cashier.,Robbers take the money from the shop.,Robbers leave with a blue bag full of money.,A bank is robbed by some armed men in masks.
Robbery016_x264.mp4,Two men in helmets rob a store.,Man in the yellow helmet attacks the shopkeeper with a knife.,Two men try to rob the shopkeeper.,Shopkeeper pulls out a stick and chases the men.,A fight happens between the shopkeeper and the robber.
Robbery017_x264.mp4,Man with a knife robs a store.,A store is robed by a man in black clothes.,Robber points a knife at the shopkeeper.,Robbers robs the shopkeeper.,The shopkeeper gives money to the robber.
Robbery018_x264.mp4,Two armed men in white walk into store.,Men point knives at the shopkeeper.,The store is being robbed by some armed men.,A few men take the money and products from the store.,A fight happens between the shopkeeper and the robber.
Robbery019_x264.mp4,Two armed men in kurtas shoot at the shopkeeper.,Some men beat up the shopkeeper.,A jewellery store is being robbed by three armed men.,Some men are robbing jewellery from the store.,Three men in kurtas rob a jewellery store using guns.
Robbery020_x264.mp4,Two men in kurtas walk into an ATM.,Robbers point a gun at the man.,The robbers take a man’s money.,Man in an ATM robbed by two armed men in kurtas.,A person is assaulted by some armed robbers.
Robbery021_x264.mp4,Two men in hoodies rob a store.,Blue hoodie robber points a knife at the shopkeeper.,A robber in a white hoodie takes money and products from the shop.,Shopkeeper is robbed by two armed men in white and blue hoodies.,The robbers take money from the shopkeeper.
Robbery022_x264.mp4,A man in blue jacket robs a woman.,A man in blue jacket takes the woman's money in an ATM.,Man in a blue jacket points his knife at a woman.,Woman is robbed by a man in a blue jacket.,A man wearing a blue jacket robs an ATM.
Robbery023_x264.mp4,Three men in caps rob jewellery store.,Some men are shooting at the glass.,A jewellery store is being robbed by three armed men.,Men rob jewellery from the store.,A few men vandalize and rob the jewellery store.
Robbery024_x264.mp4,Three armed men rob a hotel.,A few men are pointing their guns at the staff.,A hotel is robbed by armed men in kurtas.,The robbers assault the hotel staff.,A few robbers steal the money and run.
Robbery025_x264.mp4,An armed robber walks into shop.,A robber is pointing his gun at the shopkeeper.,There is a fight between the robber and the shopkeeper.,Men inside the shop attack the robber.,Some men chase away the robber.
Robbery026_x264.mp4,A group of men rob a jewellery store.,Some robbers walk into a jewellery store.,Robbers assault the shopkeepers.,A jewellery store is being robbed by a group of men.,Some people rob jewellery from the shop.
Robbery027_x264.mp4,Two men in blue and one in grey jacket rob a store.,A men in blue jacket points a gun at the people in the store.,A store is being robbed by two armed men.,A man in grey jacket assaults people. ,The robbers walk out of the store after taking all the money.
Robbery028_x264.mp4,Two men in blue and grey hoodie rob a bank.,Robbers are pointing their guns at the cashier.,A bank is robbed by armed men.,The cashier gives money to the robbers.,Some robbers run away with the money.
Robbery029_x264.mp4,A black car pulls up near four men.,Four robbers walk out of a black car.,Robbers assault the men standing by.,Robbers take the package the men were carrying.,Four men are robbed while standing on the street.
Robbery030_x264.mp4,Two men in fluorescent vests come into a room.,Robbers are stealing the money from a safe.,A few men in fluorescent vests take money from the safe.,A safe is robbed by armed men in fluorescent vests.,The robbers walk away with the robbed money.
Robbery031_x264.mp4,Two men on a bike pull up near standing women.,Two women are robbed by some men on a bike.,Rider points his weapon at a women and takes her belongings.,Two women give their purses and jewellery to the man pointing a weapon at them.,Robbers drive away with the stolen belongings.
Robbery032_x264.mp4,Man in a helmet robs a woman on the street.,A man in helmet assaults a woman.,Some woman is attacked by a man wearing a helmet.,Man in a helmet steals woman's jewellery.,Man in a helmet rides away on a bike after robbing a woman.
Robbery033_x264.mp4,Robber in a camouflage jacket points a gun at the cashier.,A store is robbed by an armed man.,An armed man in a camouflage jacket robs a store.,The cashier gives all the money to the robber.,Robber walks out of the store with all the money.
Robbery034_x264.mp4,Five men wearing helmets walk into a jewellery store.,Jewellery store is robbed by five armed men.,Robbers point guns at people in the store.,Robbers fill jewellery in a bag.,The robbers walk out of the shop with the stolen jewellery.
Robbery035_x264.mp4,Armed men walk into store.,Armed men are pointing their guns at people in the store.,A store is robbed by armed men.,Armed robbers rob a store.,Some armed men walk away from the shop with the loot.
Robbery036_x264.mp4,Armed robber in black hoodie walks into a bank.,An armed robber robs a bank.,An armed robber points his gun at the cashier.,Robber takes money from the cashier.,A bank is robbed by an armed robber in a hoodie.
Robbery037_x264.mp4,A robber walks into the shop.,A robber is assaulting the shopkeeper.,A store is robbed.,A robber steals the cash register.,A robber runs out with the cash register.
Robbery038_x264.mp4,Two men on a scooter stop near two bystanders.,Some robbers get down from the scooter.,Robbers point their knives at the bystanders.,Robbers take money from the bystanders.,Two men are robbed while standing on the street.
