File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Assault001_x264.mp4,two men assault another man,a man is beaten up by two men,a few men attack a person,two men are hitting a person badly,a man falls on the ground after being assaulted
Assault002_x264.mp4,several men assault a man,a man gets beaten by some men in the room,a man is being assaulted in the corner of the room,multiple people attack a man in the room,people hit and throw chairs at another man
Assault003_x264.mp4,a group of people attack a man,a man is assaulted by some men with bats,a man is beaten up by some people on the door,a few men hit a man badly with bats,a man is attacked outside the door by some people
Assault004_x264.mp4,a few men assault the people on the street,people try to run as some men with bats hit them,some men get out of the car and assault people,some people get assaulted on the street at night,a few men in cars come with bats to assault people
Assault005_x264.mp4,a man in white outfit is attacked by some men,some people assault a guy on the front porch,people kick and punch a guy on the front porch,a man gets beaten up badly outside the house,some people resort to physical violence on the porch
Assault006_x264.mp4,a man tries to sneak in and out of the store but gets caught,people in the store assault the thief,a man tries to steal and run away but gets beaten up,the guy trying to steal is assaulted by some men,a few men catch the thief and get violent
Assault007_x264.mp4,some people in masks assault a man and vandalise,people trash the atm and hit a man,some armed men assault and vandalise in the atm,men with a bat beat a man and vandalise in the atm,a man is assaulted and the atm is vandalised
Assault008_x264.mp4,a group of men beat up two guys near the store,two men get assaulted outside the garage,a few men attack two people in public,the people fall on the ground by the assault,some men start a fight with other people
Assault009_x264.mp4,two people start fighting at the bar,a man attacks another man at the bar,a man punches a person in the bar,people try to stop the fight between two men,people in the bar pull the men away from fighting
Assault010_x264.mp4,a man attacks other people in the room,guy with the stick beats other people with it,a guy assaults people in the room with a stick,a guy in the room is beating up people,a man suddenly starts hitting other people in the room
Assault011_x264.mp4,a group of men attack a person on the street,some people assault a guy on the street,a man is beaten up with sticks on the road,a man tries to run away as people assault him,a few men with sticks start hitting a person
Assault012_x264.mp4,a man attacks a person in a public place,a man hits another person from behind,the guy ran away after suddenly hitting a man,the person fell on the ground after being assaulted,a man assault another man on the street
Assault013_x264.mp4,two men with sticks assault people at a restaurant,two people enter a restaurant and hit people,people run from the restaurant due to the assault,two guys hit people with sticks at a restaurant,men in blue clothes are assaulting people with sticks
Assault014_x264.mp4,a few men assault a person in the car,a man opens the car door and starts hitting,man with a bat hits a person in the car,a guy hits another person sitting in the black car,some people with a bat resort to violence
Assault015_x264.mp4,an old man fights with the thief,a man in the shop protects the old woman,the thief points a knife on the old woman in the shop,a man tries to assault a woman but ran away,the man protects an old lady from the assault
Assault016_x264.mp4,a man goes behind the counter to assault a person,a man attacks another man at the reception,a man starts hitting the person behind the counter,people try to stop a fight at the reception,a man assaults the employee behind the counter
Assault017_x264.mp4,two people enter the house forcefully,two men assault a man to get in his house,a man falls on the ground after being assaulted,a man tries to stop people from entering but gets hit,two people hit a man when he tries to stop them
Assault018_x264.mp4,a man punches another person on the street,a man attacks another person on the roadside,a man punches someone and runs away,a man is walking on the footpath and gets attacked,a man gets punched while walking on the road
Assault019_x264.mp4,a man hits another man with a chair,two men assault a man to stop him from entering,someone tries to enter the restaurant and gets assaulted,a man is assaulted with a chair and a stick at the bar,two men attack a man coming from the window
Assault020_x264.mp4,a man hits a guy from behind and runs away,a man gets hit on the street,a man talking to a woman gets hit on the head,a man assaults another guy on the street,a man attacks a man standing on the road
Assault021_x264.mp4,a few men assault a person on the street,two men attack a person walking on the street,a man falls on the road after being assaulted,some men seriously injure a guy on the street,a man gets injured in an assault on the street
Assault022_x264.mp4,man in a white tshirt gets assaulted in the parking lot,two men come running to hit a person,a person is attacked in the parking lot,some people suddenly start hitting a man near the shop,some people assault a man and run away
Assault023_x264.mp4,a man punches another man on the footpath,people are standing when a man punches the other,two men in black clothes get in a fight,a man suddenly punches another man in the face,a man assaults man standing on the footpath
Assault024_x264.mp4,a man suddenly attacks someone at the party,people at the party are talking when a man gets hit,a man is assaulted at the party,a man assaults someone when he was talking,some people try to stop the attacker from hitting a man
Assault025_x264.mp4,a couple attacks a man outside the store,a man and woman beat up a man on the pavement,a man attacks a man standing outside the store,a couple start hitting a woman when others join,some people assault a man on the pavement
Assault026_x264.mp4,a girl tries stopping a man from assaulting another man,a man hits another man inside the office,two men engage in violence at the front door,a man keeps hitting someone at the office door,a man assault another man while a girl tries to stop him
Assault027_x264.mp4,a man hits two people in the face,two men at the store get assaulted while shopping,a man attacks two people near the cashier,a person standing in the store assaults two men,people in a queue at the store get hit by another man
Assault028_x264.mp4,some men in masks assault a man with sticks,two men run away in the car after beating a man,a man walking on the street is attacked by two men in masks,a man gets injured due to an assault on him on the street,two men in masks get out of the car to attack someone
Assault029_x264.mp4,two men kick something on the ground,the two men walk away after kicking something,two people are kicking someone in the grass,there is something on a footpath that two men are hitting,two men are kicking something badly on the grass
Assault030_x264.mp4,a guy stops another man to leave the elevator by choking,a person assaults a man in the lift by choking him,a man is attacked when he tries to get off the elevator,a man is choked during an assault in the lift,a man gets physically violent on someone in the lift
Assault031_x264.mp4,two groups of people start fighting on the roadside,a few men assault each other on the pavement,a man punches someone and causes a fight,a man standing on the footpath is attacked by someone,people start fighting after a man gets punched
