File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Fighting001_x264.mp4,a group of men fight in an office,a few men throw chairs around to fight,some people fight in an office,there is physical violence going on behind the computers,some men get violent in the office
Fighting002_x264.mp4,people in a bar throw stuff at the customer,there is a fight at the restaurant,people are throwing things in a fight,a woman ran away as a fight broke out at the bar,the woman got scared due to the fight and ran
Fighting003_x264.mp4,a group of men fight in the metro station,a fight starts at the metro station,a few men start fighting,some people engage in physical violence at the station,some men get violent at the metro station
Fighting004_x264.mp4,some people fight at the pool table,people hit each other with sticks,a few men fight near the pool table,people get very violent in the room with a pool table,people get violent and hit each other with sticks
Fighting005_x264.mp4,a man starts a fight in the lobby,two people fight at the hotel lobby,a man starts beating the other at the hotel,a man gets beaten in the lobby by another man,a man starts a fight with another man in the lobby
Fighting006_x264.mp4,a man starts beating a couple in the room,a man attacks a couple sitting in the room,a couple gets in a fight with another man,a man and a woman are attacked by a person,a person fights with a couple sitting in the room
Fighting007_x264.mp4,a group of men fight with people on the street,a few men are hitting each other on the road,some men engage in violence on the street,people in tshirts hit other people on the road,some men get violent on the road and hit each other
Fighting008_x264.mp4,there is physical violence on the road,people get violent and hit other men,a group of people beat up a man,a few men get physically violent on the main road,a group of people fight on the road at night
Fighting009_x264.mp4,a man attacks another man at a party,a violent man hits a person at the bar,few people stop a fight at the party,a person starts hitting another man at the bar,a fight is started at the party by a man
Fighting010_x264.mp4,a man tries to start a fight at the shop,a woman stops a man from fighting at the shop,a man pushes a person in the door,a woman tries stopping a man from pushing,a man wanted to fight in the shop but was stopped
Fighting011_x264.mp4,two men in a cell engage in violence,a man initiates a fight in the cell,a person starts hitting another man in the cell,two people fight in the cell and fall on the ground,two men get physically violent inside the cell
Fighting012_x264.mp4,two men box in front of the house,two people are boxing outside the house,two people are fighting in the ground,two men start boxing near the door,a fight is started between two people outside
Fighting013_x264.mp4,a few men fight with the store employees,some men attack the people working at the place,there is a fight at the entry gate of the place,a few men get physically violent on the entrance,some men resort to violence with the staff at the door
Fighting014_x264.mp4,a man starts a fight with a dancing couple,people in the room stop the fight between two men,a person attacks a man dancing with a woman,people are dancing when a man attacks one of them,a man hits a person who was dancing with a woman
Fighting015_x264.mp4,a robber gets beaten up in the shop by some people,people in the store fight with the robber,a man tries to rob a store but gets beaten up,there is a fight in the store with the robber,two men beat a robber
Fighting016_x264.mp4,a man attacks a robber in the store,a few people beat up the armed robber,robber tries to rob the store but gets beaten up,a robber with a weapon gets beaten up by the people,employees of the store fight with the armed robber
Fighting017_x264.mp4,a man gets beaten up on the street by some people,a few men attack another man on the road,some men get in a fight on the road,a person is beaten up on the road by some men,there is a fight on the road between a man and a group
Fighting018_x264.mp4,a girl beats up a thief,a man tries to steal from a girl but gets beaten up,a girl fights a thief in the subway,a thief steals from a woman and gets in a fight,the girl leaves after beating up the man for stealing
Fighting019_x264.mp4,a man gets beaten up at the pool table,there is a fight near the pool table,a few men fight near the pool table,a man is attacked by some people in the room,a few men join the fight and beat up a man
Fighting020_x264.mp4,a man tries to stop a woman from hitting another woman,a group of people fight on the street,a woman attacks another woman on the street,two women are fighting and a man tries to stop them,a group of people fight on the road at night
Fighting021_x264.mp4,two groups of people get in a fight on the road,some men are fighting on the road at night,a few armed men get in a fight on the street,some men get physically violent on the street at night,a few people try to stop the fight between men on the road
Fighting022_x264.mp4,a few people start fighting in a crowded market,there is a fight at the market,some men engage in violence at the market,violent people fight in a crowded place ,people beat up each other at the market
Fighting023_x264.mp4,a man is trying to run away but the guard stops him,a guard pushes a man at the hospital,security guard pushes a man he was chasing,the guard pushes a man down at the door,a guard is trying to stop a man from running away
Fighting024_x264.mp4,policemen beat up a man at the jewellery store,a person at the store with a knife is beaten up by the police,policemen hit a man and take his knife,a man at the jewellery store is caught with a knife,policemen attack a man with knife at the jewellery store
