File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Stealing001_x264.mp4,a man is stealing a cycle,a man picks up a cycle and walks away,person in a white shirt takes the cycle from someone’s porch,cycle kept in front of the house is stolen by a man,the person drags a cycle kept in front of the house
Stealing002_x264.mp4,two men steal a car battery,two men open the hood of a grey car and steal its battery,two men in white car steal component from grey car,car parked on the street has it's battery stolen by two men in a white car,two people drive away with stolen component from grey car
Stealing003_x264.mp4,someone steals a car from the parking lot,someone steals the black sports car and drives off,man escapes with stolen black car from the parking lot,man drives away with black stolen car from the parking lot,car in a parking lot is stolen by someone
Stealing004_x264.mp4,two men steal a bike,bike kept in the parking space is stolen by two men,two men walk away with a stolen bike,two men steal bike from someone's house,two men drag away an unattended bike from parking space
Stealing005_x264.mp4,man attempts to steal parked truck,man is scared away by alarm as he tries to steal the car,man runs away as the car alarm is triggered as he tries to steal it,man in white shirt tries to steal van from parking spot,alarm prevents van from being stolen by man
Stealing006_x264.mp4,two men steal a bike,man bypasses the bike lock and rides away on it,man gets off his bike to steal another bike parked on the street,person in brown shirt unlocks bike and rides away on it,bike parked on street is stolen by two men
Stealing007_x264.mp4,a man steals a bike,man bypasses bike lock and rides away on it,man gets off his bike to steal another bike parked on the street,person in blue shirt unlocks bike and rides away on it,bike parked on street is stolen by a man
Stealing008_x264.mp4,three men steal two bikes from a parking lot,three men arrive in a white van and load two bikes into it,a blue and a red bike are stolen by three men in a white van,men in dark outfits steal two bikes and take them away in a van,three men drive away with a red and a blue stolen bike
Stealing009_x264.mp4,man steals a bike from the front porch,man bypasses bike lock and rides away on it,man walks into parking space and rides off with stolen bike,person in brown shirt unlocks bike and rides away on it,bike parked in the parking space is stolen by a man
Stealing010_x264.mp4,man in white shirt steals bag from car parked on a street,man reaches through broken car window and steals a bag,man in a white shirt walks off with a stolen bag from a car,bag inside car with the broken window is stolen by a man,a man breaks the car window open and takes a bag from within it
Stealing011_x264.mp4,a man steals a bike from the street,man bypasses bike lock and rides away on it,man looks if anyone is watching before riding off on stolen bike,person in green shirt unlocks bike and rides away on it,bike parked on street is stolen by man
Stealing012_x264.mp4,man steals helmet from a scooter,man looks around for witnesses before taking a helmet from a scooter,helmet on a parked scooter is stolen by man wearing a dark shirt,man rides away with a stolen helmet from parked scooter,man rides in an a white scooter and rides off with stolen helmet from a parked scooter
Stealing013_x264.mp4,two men steal a bike from the front porch,man bypasses bike lock and rides away on it,two men break into a parking lot to steal a bike,one person unlocks the bike while the other holds a gun,bike parked in the parking space is stolen by two men
Stealing014_x264.mp4,a man tries to steal a bike,man tries bypassing the bike lock but fails,man walks into parking space and tries to steal it,person in dark shirt fails to unlock the bike and leaves,the bike parked in the parking space is being stolen by a man
Stealing015_x264.mp4,a man steals a car cover on the parked car,man notices car cover on a parked car and steals it,man walks into car parking and walks off with a stolen car cover,man in blue hoodie walks off with car cover,cover of a parked car is stolen by a man
Stealing016_x264.mp4,man steals packages from a porch,man walks up to house to take packages present in front of it,man keeps the stolen packages from house's porch in a red car,porch packages are stolen by a man in a grey hoodie,man in a grey hoodie takes packages from the porch of a house and loads it in a red car
Stealing017_x264.mp4,two men assault owner and steal his car,two men in hoodies beat up owner and drive away in his car,two men get off white car to assault owner and steal his car,men in red and green shirt assault man and steal car,parked car is stolen by two assailants in hoodies
Stealing018_x264.mp4,man steals item from car and leaves,man uses rod to break car window and steals item from inside it,man breaks into black car with metal rod to steal item inside it,man in checked hoodie breaks car window to steal item inside it,item inside black car is stolen by man
Stealing019_x264.mp4,man attempts to steal a parked car,man inside the car tries to steal the car but fails,man is unable to start engine after breaking into car,white car is broken into my man who attempts to steal it but fails,man in black shirt enters car but fails to steal by being unable to start the engine
Stealing020_x264.mp4,two men steal items from a car,two men break car window and steal items from it,two men in a car take items from another car and drive away,two men wearing hoodies steal from a parked car,items in a car are stolen by two men who broke into it
Stealing021_x264.mp4,a man steals valuables from an unlocked parked car,man opens a black car and steals valuables it,man opens door of car and takes items from it,cap wearing man steals valuables from a car by breaking in,valuables in a car are stolen by a man
Stealing022_x264.mp4,two men steal a bike,man bypasses bike lock and rides away on it,man gets off his scooter to steal another bike parked on the street,man wearing red helmet unlocks bike and rides away on it,parked bike is stolen by two men who arrive on a scooter
Stealing023_x264.mp4,multiple men steal a parked car,two men break into a car and steal it,men get off their car to steal a parked car in the lot,hooded men break into a car and steal it,parked car is stolen by multiple men who arrive in a car
Stealing024_x264.mp4,two men steal a person's jacket,two men take off with the owners jacket when he is distracted,two men steal a jacket placed on the chair behind the owner,two men steal jacket from a crowded restaurant,a jacket is stolen by two men in a restaurant
Stealing025_x264.mp4,man steals a bike,a man tries to bypass the bike lock outside the store,man unlocks bike in a parking lot to steal it,person in blue jacket and helmet unlocks bike,a blue bike is being stolen from a parking lot
Stealing026_x264.mp4,man steals items from a car,man breaks open the window of white car to steal items in it,man keeps the items stolen from a parked white car,hooded man breaks into car to steal items from it,items in a car are stolen by a man who broke into it
Stealing027_x264.mp4,two men attempt to steal a car,two men are scared away by alarm as they try to steal the car,two men run away as the car alarm is triggered as they try to steal it,men in hoodies try to steal a car from a parking lot,car alarm prevents thieves from stealing it
