File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Abuse001_x264.mp4,a man tries snatches something from a woman,a man steals from a woman and gets hit by another man,woman in the white t-shirt is abused by two men,two people enter a room and abuse a woman,a woman gets her purse stolen and gets hit on the head by two men
Abuse002_x264.mp4,a man fell from a moving car,car stops to save the man from crushing,few people came out to save the man who fell from the car,a man is saved from getting crushed on the road,all cars slow down to avoid the accident
Abuse003_x264.mp4,there is an old lady sitting on a wheelchair,young lady is crashing the old lady on the walls,young lady crashes a wheelchair in the wall intentionally,young lady crashed an old lady multiple times,a woman pushes the old woman on a wheelchair into a wall
Abuse004_x264.mp4,two people abuse one man sitting alone in the room,two men sprayed something unusual on the man in jail,two guards started beating the man who is in the room,the abused person fainted due to torture by security,the security used a stick to beat the person in the cell
Abuse005_x264.mp4,a few guards abused a man in a hall,the abused man is naked on the table,the security guards wrap a polythene bag and abuse a man,a guard kept his leg on the head of a naked person,person was kept on the table naked and beaten by guards
Abuse006_x264.mp4,a man is caught by a team of police and beaten,man is trying hard to run away from the cops,policemen are continuously beating and trying to stop a man,policemen came in a police car and beat a man,a man gets beaten by cops before getting arrested
Abuse007_x264.mp4,a policeman slapped a man,policeman slapped someone and others are watching,a man was abused by a cop,a police officer hit a man in the face and walks away,a man got abused by policeman and leaves
Abuse008_x264.mp4,a policeman threw a woman in a jail,a woman in the prison got her head banged on the wall,a lady is interrogated and abused by the police,a woman is thrown in the cell by the police,some policemen push down a woman and interrogate her
Abuse009_x264.mp4,lady threw a child on the floor,child is injured due to falling on the street,lady is trying to hurt the child by throwing him on the floor,a person dropped a child in her hand on the pavement,a woman drops a baby on the footpath and picks him
Abuse010_x264.mp4,a dog got run over by a car on the road,one dog got crashed with a car and injured badly,dog which is crashed with a car is not able to move,a car runs over a dog on the intersection and drives,a dog got injured by a car and a woman picks it up
Abuse011_x264.mp4,a man threw a lady from the top of the stairs,lady fell from a height and is badly injured,man is beating a lady very badly,man slapped the lady and threw her from stairs,a girl gets brutally abused by a man in the hallway
Abuse012_x264.mp4,a lady in a child's room starts beating the child,lady slapped the child many times,lady is beating the child,lady slapped punched and threw the child,child is injured from the torture by a woman
Abuse013_x264.mp4,a lady teacher is kicking some children,lady is beating two children,lady slapped the children in the class,a woman kicks and slaps little girls in the class,two girls get abused by a woman in the room
Abuse014_x264.mp4,a woman picks and throws the cat in the trash,lady threw the cat in the dustbin and leaves,cat is trapped in the bin because of a woman,lady walked away after trapping the cat in the bin,a lady walking on a street fiddles with a cat and throws her
Abuse015_x264.mp4,a policeman beat a handcuffed person,policeman punched the man at the station,arrested man lost his consciousness and fell on the floor,a policeman started beating the man at the station,a man gets abused at the police station by the cop
Abuse016_x264.mp4,two men came in car and tried to climb over the wall,two dogs were there in the house when those men came,two guys tried to handle the dogs but they failed,two men climbed over a wall and fight with the dogs,the two men trespass in the house and fight with the dogs
