File name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Arrest001_x264.mp4,policemen bring a man under arrest but the man resists,two policemen force a person under arrest,a man is being arrested by two people,man in white tshirt is forced by policemen at the station,policemen forcefully bring a man at the police station
Arrest002_x264.mp4,a man in white shirt came and grabbed a man,person in blue shirt is arrested by a man,person is handcuffed and arrested,a man is forced and got arrested,a man is arrested and handcuffed on the roadside
Arrest003_x264.mp4,policeman arrests a person standing on the street,policeman is shouting on a man,a man is handcuffed and arrested by the police,the policeman punched a man and arrested him,the police officer forced and arrested a man
Arrest004_x264.mp4,policemen followed a car and tries to arrest a man in car,man is trying to run away from the cops,police stopped the car and arrested the man,a few policemen handcuffed the man,man driving the car is arrested by the police
Arrest005_x264.mp4,man in blue shirt grabbed a man and called police,a man stopped the culprit at the store,police came and arrested the man at the store,man is trying to run away but got arrested,police handcuffed the man and arrested him
Arrest006_x264.mp4,person in car is trying to run away,group of policemen came and followed the car,a man is trying to run away in his car,police arrested the man in front of the house,culprit is handcuffed and arrested by the cops
Arrest007_x264.mp4,a person is trying to steal the change from the laundry machines,police came and arrested the man at the laundry,the robber surrenders himself to the police,police arrested the man who was stealing money,a thief is handcuffed and arrested by the police
Arrest008_x264.mp4,a couple is trying to setup something in car and then run away,the police tries to stop the people in the grey car,police reached the spot and arrested the man in car,someone is trying to run away but the police cars stop it,police arrested the man in the grey car
Arrest009_x264.mp4,a man starts beating a police officer and gets arrested,two cops arrest the man assaulting a officer,while entering in the car man is arrested by the police,police arrested the man for assaulting a cop,a man walking on the street fights with the police
Arrest010_x264.mp4,a man trespassing the fences gets arrested,police came and arrested the man at the site,the man at the construction site is chased by cops,police handcuffed a man and arrested him,police followed a man and arrested him later
Arrest011_x264.mp4,a man is fighting with the police and security officers,someone is arrested and forced by the police on the roadside,cops came to help security guards in the arrest,man is trying to run away but is resisted by the security,man is handcuffed and arrested on the pavement by cops
Arrest012_x264.mp4,a guy is fighting with the police and others,police came and arrest the man outside the shop,the cops handcuff and arrest a guy on the roadside,a few people are fighting and get arrest by the police,police arrest the man after being thrown out of the shop
Arrest013_x264.mp4,someone in a car is trying to run away from the police,police couldn't arrest the man driving the car,police try chasing the driver in the car,two police cars came to arrest the man but fail,man is running away from the police in his car
Arrest014_x264.mp4,a man walks in a store trying to hide from the police,policemen came and arrested the man in the shop,man is handcuffed and arrested by some officers,a few policemen arrest a man hiding in the shop,policemen came into the store and arrested the man
Arrest015_x264.mp4,the person driving the van hits the police car,police is trying to arrest the man in the van,man ran away from the cops in his van,police cars are following the man in van,man ran away from the police cars in his van
Arrest016_x264.mp4,a man is trying to hit policeman with a pole,police is warning the man for offence,policeman is trying to shoot the man on the street,policeman shoots a man with gun,a man is trying to escape from the cop
Arrest017_x264.mp4,a car is trying to escape from the police,police cars are chasing a car on the road,the car got stuck and its driver got arrested,many police cars are chasing a man in the truck,someone is running away in his car from the police
Arrest018_x264.mp4,policemen are chasing a man on streets,a man is running away from the police,a person is being chased by the police on the road,a police car is chasing a man along with some other cop,a man is chased by a police car on the street
Arrest019_x264.mp4,the police is chasing a cab on the streets,a taxi driver is trying to run away from the cops,many policemen are trying to chase a culprit car,the culprit is driving very fast and trying to escape,police is trying to arrest the cab driver by chasing him
Arrest020_x264.mp4,a man is running away from police,the police is trying to arrest a man,the police is chasing a man to arrest him,man is crossing a fence and running away from the cops,the police is trying to arrest a man who is running
Arrest021_x264.mp4,a lady is trying to remove handcuffs of arrested women,the lady is trying to escape from the police,the police use force and arrest a woman in the room,a lady is arrested by the police,a lady is handcuffed and arrested by the police
Arrest022_x264.mp4,shirtless man is coming out of a house and police is chasing him,the police chased a man and handcuffed him,a man is arrested by the police in the parking lot,the police is arresting a man in the parking,a man is trying to escape from police but fails
Arrest023_x264.mp4,a man is running away,man is being chased by few other people,man is forced and caught by people,a few men are trying to catch a man,man is chased by other people on the streets
Arrest024_x264.mp4,a car is moving very fast and is chased by police cars,the police arrested the man in the car,police used weapons to arrest the car driver,a man is arrested by policemen on the road,guns were used during the arrest of a driver
Arrest025_x264.mp4,few security guards arrested a man behind a car,man is handcuffed and forced by guards,guards arrested a man on the subway,two guards catch a man a forcefully,a man is trying to run away from the security
Arrest026_x264.mp4,a lady is trying to run away from that room,a police officer didn't allow that lady to go away,policemen used force and power to control that lady,a lady is arrested by the police in the room,the police is trying to arrest a lady in the room
Arrest027_x264.mp4,a police car is chasing some other car,a car is being chased by police,police is chasing a car on the highway,the car speed is very fast during the chase,police is trying to arrest the man in the car
Arrest028_x264.mp4,a few policemen discussing something with a man,man is arrested and forced by the police,man is trying to run away,police handcuffed the man and arrested him,the man under arrest is continuously trying to escape
Arrest029_x264.mp4,a lady is arrested by the police,police warned a lady and took her for discussion,the police try to handcuff and arrest a woman,a woman is arrested by the police,a lady is trying to escape the police
Arrest030_x264.mp4,a few men are trying to rob the atm,the police came on time and arrested culprits,police used force to arrest the men robbing the place,some men were stealing and the police arrested them,the robbers were trying to escape but police arrested them
Arrest031_x264.mp4,man is warned by the police for something,the police handcuffed the man at the hotel,the police arrest a man in the lobby,a person is doing some suspicious activity,someone is handcuffed and arrested at the reception
Arrest032_x264.mp4,a man is warned by the police,a man is arrested and forced by the police,some guy is handcuffed and arrested at the lobby,the police arrest a man and cuff him,police is arresting a man and asking for some information
Arrest033_x264.mp4,man is forced by the police to enter a room,the police punched a man,police arrested a man,man is fainted by the torture of police,police arrested the man and handcuffed him
Arrest034_x264.mp4,police is chasing a man on streets,police arrested the man in the streets,more police vans came and arrested the man,man is trying to run away,police arrested the man
Arrest035_x264.mp4,a man is trying to steal something from a store,a guard is trying to stop the thief in the shop,police arrested the robber in the store,man is arrested by policemen in the store,man is handcuffed and arrested by the police
Arrest036_x264.mp4,security guard is interrogating a man,the security guard forces a man on the floor and arrest him,the police handcuffed the man in the hall,a policeman is arresting a man for some reason,a man is arrested by the police
Arrest037_x264.mp4,the security people hold a man against the wall,police caught the man and try arresting him,the culprit is held by the police while people watch,a man is arrested by a few policemen,man is handcuffed and arrested by the guards at night
Arrest038_x264.mp4,man is trying to escape from the room,police came and arrested the man,man is caught by the police,man is handcuffed and arrested,man is trying to run away
Arrest039_x264.mp4,man is holding a gun and trying to steal something,police came and arrested the man,police used weapons to arrest that man,police injured the man,man is trying to hurt others
Arrest040_x264.mp4,man in a car drives rashly to run from the cops,man in the car is arrested and forced by the police,a few police cars came and arrested the man,police is chasing the culprit's car,police arrested the man driving the car
Arrest041_x264.mp4,person smashed himself into a glass window,police arrested a man running from the supermarket,a man is handcuffed and arrested by the security,a man was stealing something from the store,man got arrested and handcuffed for stealing from the shop
Arrest042_x264.mp4,shirtless man is coming out of a house and police is chasing him,police chased a man and handcuffed him,man is arrested by the police outside his house,police is arresting a shirtless man,man is trying to escape from police but gets caught
Arrest043_x264.mp4,police warned before arresting a man at the garage,man is trying to save himself from the cops,policeman is trying to shoot the man,policeman arrested the culprit at the garage,a man got handcuffed and arrested by the cops
Arrest044_x264.mp4,two burglars get caught by the police at the house,policemen came and arrested the man robbing the house,police went upstairs and arrested the burglars,two men were arrested and handcuffed in the house,police arrested the burglars and took them outside
Arrest045_x264.mp4,police warned a man on the road and beat him,man got arrested and assaulted by the police,police handcuffed the man on the street,policemen forcefully arrest a man on the road,police arrested someone for something on the street
Arrest046_x264.mp4,the police is interrogating the arrested man,a man is arrested and forced by the police,the police took the arrested person’s full inspection,man is handcuffed and made to lie on the floor,arrested man is cooperating with the police in their inspection
Arrest047_x264.mp4,the police came in their car and caught the culprit,police arrested the man and put the cuffs on him,the police blocked the car and arrested the man,police warned the man before arresting,man is handcuffed and taken to the cop truck
Arrest048_x264.mp4,culprits get violent with the police before getting arrested,policemen handcuffed two people in the store,two men are trying to run away and fight with the cops,police arrested the man and handcuffed him,culprit is trying to escape from the store but fails
Arrest049_x264.mp4,person with a cycle is interrogated by the police,the police officer arrest a man against the wall,man is trying to escape from the officer but fails,the police officer handcuffed the man and arrested him,person is arrested by a cop but he resists
Arrest050_x264.mp4,man is arrested by the police after getting caught,the driver crashes into the store and gets arrested,police chase a car and arrest the driver,man is trying to run away in his car but crashes,police came in their cars and arrested the crashed driver
