File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Shoplifting001_x264.mp4,two people are stealing from a store,two people steal something from an electronics store,two people shoplift from a store,two guys are stealing from the store aisle,two people in orange and white sneaked electronic items in their shirt
Shoplifting002_x264.mp4,a person picks something from the counter,a person steals from a cyber cafe,a person wearing a hat tugs something in his shirt,a person steals a white item and tugs in his shirt,a person drags some things on the table and hides in his shirt
Shoplifting003_x264.mp4,lady behind the fan steals from the shop,woman sitting in front of fan steals something,an object is stolen by a woman from the shop,a woman hides an object in her dress,a lady hides some item in her dress
Shoplifting004_x264.mp4,the shop is crowded when a man shoplifts,two elderly men are at the counter when someone steals,a person is counting money during the shoplift,a person is talking to an elderly man,a person is walking past two elderly men
Shoplifting005_x264.mp4,two men are talking in a store before stealing from the store,a person tugs jewellery in his friend’s jacket,two people are shoplifting from a store,two people steal jewellery from a store and leave,a person is hiding a box in his jacket to steal it from the shop
Shoplifting006_x264.mp4,a man runs away with something from a store,a man steals from a small store,a man wearing a cap steals jewellery from a store,a man steals jewellery from a store counter,a man standing at the store runs away with something
Shoplifting007_x264.mp4,two women steal from a cloth shop,two women tug items from a shop,two women steal clothing from a cloth store,two women steal sari from a cloth store,two women hide items from a store and run away
Shoplifting008_x264.mp4,a man steals something from a store counter,a man picks a calculator from a store,a man picks up an item lying on the table,a man steals the calculator from the counter,a man steals an item from the store counter
Shoplifting009_x264.mp4,a man steals a box from a store,a man walks away with an electronic item put on the shelf,a man steals an electronic item from the shelf,a man hides an electronic item and walks away from the store,a man steals and walks away with an electronic item from the store
Shoplifting010_x264.mp4,a girl hides items in her bag,a girl steals items from a store,a girl puts items from a store aisle in her bag,a girl is stealing from a store,a girl steals something from a store
Shoplifting011_x264.mp4,a man hides goggles in a store in his sleeve,a man steals sunglasses from a store,a man tugs something in his jacket,a man hides something in the sleeves of his jacket,a man steals half a dozen sunglasses from a store
Shoplifting012_x264.mp4,a woman steals a sari from a store,a woman in a store steals saris,a woman hides something in her bag,a woman steals some things from the counter,a woman steals from a clothing store
Shoplifting013_x264.mp4,a few ladies steal clothes from a clothing store,three women are stealing from a store,a group of women steal items from a clothing store,a group of women steal clothes from a clothing store and leave,some women hide items in the store in their bags and run away
Shoplifting014_x264.mp4,two woman hide clothes in their bags,two women steal items from a store,a woman hides clothes in her bag,a group of women steal clothes from a cloth store,two women with a baby shoplift from a store
Shoplifting015_x264.mp4,a man picks something from a store,a man steals something from the counter,a man walks away with something from a store counter,a man steals a calculator from an electronics store,a man steals something from an electronics store
Shoplifting016_x264.mp4,a woman steals a box from a store,a woman steals a laptop from a store,a woman hides a brown box under her clothes,a woman hides something under her clothes,a woman carrying a bag tugs a big brown box under her clothes
Shoplifting017_x264.mp4,a man steals something from behind a counter,a man steals an item from behind the counter,a man picks something from the counter,a man steals something from a front desk at the shop,a man steals something from a store
Shoplifting018_x264.mp4,a lady hides items in her clothes,a lady steals from a store aisle,a lady picks items in her clothes,a lady steals items and puts in her clothes,a lady hides something in her clothes
Shoplifting019_x264.mp4,two men run away with something from a store,two men steal from an electronics store,two men run away with big boxes stolen from the shop,a group of men steal big boxes from a store,a group of men steal big boxes from an electronics store
Shoplifting020_x264.mp4,a person steals something from a store,a person steals items from behind the counter,a person picks something from behind the counter,two people steal something from a store,two people run away with something from a store
Shoplifting021_x264.mp4,a lady picks something from behind the counter,a lady steals money from a store,a lady is shoplifting,a lady hides away the money stolen from the counter,a woman in black is stealing from a store
Shoplifting022_x264.mp4,a boy and a girl are stealing from a store,a boy and a girl steal something from a store,two people are stealing from a store,a boy hides something in his jacket,a girl and a boy hiding boxes in their clothes
Shoplifting023_x264.mp4,a person is stealing from a jewellery store,a lady is stealing from a shop,a lady steals something from the counter,a lady is shoplifting,a lady hides something in her bag
Shoplifting024_x264.mp4,a girl is stealing from a store,a girl is stealing from the counter,a girl hides something in her pockets,a girl steals something from a small shop,a girl hides something under her notebook
Shoplifting025_x264.mp4,two women are stealing clothes from a store,two women are stealing from a store,two women steal clothes from a store,two women steal clothes in a store,two women are shoplifting in a store
Shoplifting026_x264.mp4,a woman tugs items in her bag,a woman is stealing from a shop,a woman hides away items in her bag,a woman is stealing clothes from a shop,a woman is stealing items from a cloth store
Shoplifting027_x264.mp4,a man picks items from the counter,a man steals something from a store,a man wearing a cap steals something from a store,a man walks away with something from the store,a man steals a small item from the store counter
Shoplifting028_x264.mp4,a man and woman steal items from a store,a man and a woman steal items from a store aisle,a man and woman is stealing,two people are stealing small items from a store,two people are shoplifting
Shoplifting029_x264.mp4,a group of people steal clothes,a small group of men steal items from a store,three men steal clothes from a store,three men steal items from a clothing store,a group of men steal clothes from a store
Shoplifting030_x264.mp4,a man in a cap steals something from an electronics store,a group of people are stealing from an electronics store,a group of people steal items from an electronics store,three people hide items on display from an electronics store,a group of three people are stealing items from an electronics store
