File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
RoadAccidents001_x264.mp4,a car rams in the bike at the intersection,a car and a motorcycle are going fast and cause an accident,car and motorcycle crash into each other causing an accident,man on a motorcycle is flung into air because of an accident,an accident occurs because car and motorcycle were going fast
RoadAccidents002_x264.mp4,an out of control bus approaches a busy street,bus crashes into the street light and a parked car causing an accident,a bus crashes into objects on the side walk,civilians on the side walk move away from the crashing bus,the bus finally stops after crashing into side walk
RoadAccidents003_x264.mp4,a kid is riding a bicycle and crashes on the porch,kid on the bicycle enters a house crashing in,the kid fails to apply brake on the bicycle and falls,bicycle crashes into the front stairs of the house causing an accident,two kids fall down from the bicycle due to the accident
RoadAccidents004_x264.mp4,there is a busy crossroad where an accident occurs ,one car takes a left turn and gets rammed in,a car approaches from the opposite direction in speed and crashes,two cars crash into each other causing accident,two cars get into an accident on the crossroad
RoadAccidents005_x264.mp4,a car coming on the road gets in an accident,a car approaches another car perpendicularly and crashes,two cars crash into each other perpendicularly,a car bumps into the car on the road,a car crashes into oncoming traffic while pulling out
RoadAccidents006_x264.mp4,a high speed car crashes into the wall,the silver car crashes into the wall,the wall is hit by the fast car,the wall is crashed into by a fast car on the road,smoke arises because fast car crashes into wall
RoadAccidents007_x264.mp4,two vehicles on a road crash into each other,an accident happens because vehicles going in opposite direction crash,blue car changes lane and crashes into white mini truck,two vehicles come to a stop on the road due to a crash,white mini-truck is crashed into by blue car going in opposite direction
RoadAccidents008_x264.mp4,a fast car crashes into a parked car and people get injured,a silver parked car is crashed into by a fast car,silver car is flung across because of fast car crashing into it,a passenger in the silver car is thrown out because of the crash,passenger in silver is thrown out because of the crash
RoadAccidents009_x264.mp4,fast car approaches the crossroad and rams into the cyclists,black car going out of control crosses the crossroad,a black fast car crashes into some pedestrians,black car going fast crashes into the side-walk,black car going fast is about to crash into gas station on side-walk
RoadAccidents010_x264.mp4,red bus going down the slope is about to crash into parked car,a red bus crashes into a parked car,a silver parked car is crashed into by a red bus,silver parked car crashes into a car and a man walking on the side-walk,man on side-walk is crashed into by a car because of the red bus
RoadAccidents011_x264.mp4,two vehicles on the crossroad crash into each other,a blue tempo crashes into a car on the crossroad,yellow car is crashed into by a blue tempo perpendicularly,blue tempo and yellow car come to a stop because of the crash,a crash between a tempo and a car results in them stopping
RoadAccidents012_x264.mp4,a fast car on crossroads crashes into another car,two cars going in opposite direction crash into each other,two silver cars crash into each other and cause damage,a silver car ran over a red light and crashes into oncoming traffic,a car is overturned because of crashing into another car
RoadAccidents013_x264.mp4,an out of control car crashes at a gas station,a blue car crashes into a man at the gas station,blue car crashes into the petrol tank and catches fire,fire erupts because of an out of control blue car crashing into the petrol tank,two men are crashed into by a blue car out of control
RoadAccidents014_x264.mp4,a car loses control due to the snowfall and crashes,a car going fast in the snowfall rams into other cars,a black car slides and bumps into another car on the road,a car causes an accident from behind in the snowfall,a car got out of control in the snow and crashed in the traffic
RoadAccidents015_x264.mp4,a high speed motorcycle crashes into car,black motorcycle with two people crashes into a car,a white car is crashed into by a high speed motorcycle with two people,two people fall off from a motorcycle because of crash into car,motorcycle crashes into the white car coming from the opposite direction
RoadAccidents016_x264.mp4,a brown car gets out of control and crashes into other cars,brown car crashes into a white car at the intersection,brown car is flung to the side walk after the crash,brown car loses control because of crashing into white car,an over speeding car crashes and goes off the road
RoadAccidents017_x264.mp4,a fast car crashes into another fast car ,two cars crash into each other perpendicularly on crossroads,a car is overturned due to being crashed into by another car,a car comes to a halt because of crashing into another car,two high speed cars crash perpendicularly on crossroads
RoadAccidents018_x264.mp4,a high speed car crashes into motorbike,white car crashes into motorbike,motorbike is crashed into from behind by high speed car,motorbike topples because of crash with white car,high speed white car overturns motorbike
RoadAccidents019_x264.mp4,a high speed car crashes into a bike and injures people,black car crashes into motorbike on the road,motorbike crashes with high speed car in opposite direction,two people on motorbike are flung into the air because of the crash,high speed car crashes into motorbike with two passengers
RoadAccidents020_x264.mp4,out of control car crashes into a stationary motorbike,stationary motorbike with one person is crashed into by a car,white car crashes into a stationary motorbike,person on motorbike falls because car crashes into the motorbike,person on motorbike falls because car crashes into the motorbike
RoadAccidents021_x264.mp4,black truck crashes perpendicularly with another car,silver car crashes into a truck,car and truck crash into each other perpendicularly,car and truck come to a stop because of crashing into each other,black truck and silver car crash with each other and stop
RoadAccidents022_x264.mp4,an out of control car crashes into motorbikes ,a motorbike is crashed into by black car,black car crashes into two motorbikes on a crossroad,passengers on motorbikes fall over because of crash,crash between two motorbikes and car results in the passengers falling
RoadAccidents023_x264.mp4,a high speed car crashes into the pedestrian,the white car crashes into a person crossing the street,pedestrian was crashed into by high speed car,pedestrian is flung into air due to crashing into high speed car,pedestrian is injured because of crash with white car 
RoadAccidents024_x264.mp4,one out of control car crashes into a wall,a silver car crashes into a wall,wall is crashed into by an out of control car,silver car receives a lot of damage after crashing into wall,silver car comes to a stop after crashing into wall
RoadAccidents025_x264.mp4,an out of control white car crashes into a house,a white car crashes into a tree by drifting off the road,an out of control car crashes into a tree after going off road,tree falls down because of a car crashing into it,white car is overturned due to crashing into a house and then a tree
RoadAccidents026_x264.mp4,fast car crashes into an autorickshaw,a red car crashes into an autorickshaw,car and a rickshaw crash into each other on crossroads,rickshaw and a fast car crash perpendicularly,a rickshaw and a red car crash perpendicularly
RoadAccidents027_x264.mp4,a white car crashes with another car at the intersection,two cars going in the same direction crash ,police car is crashed into by a white car,two cars crash into each other on the crossroad,car crashes into another car and then drives away
RoadAccidents028_x264.mp4,a fast car crashes into a black van at the intersection,silver car crashes into a black van on the crossing,a car and a van crash into each other perpendicularly,van gets overturned because of crashing into a car,car comes to a halt after crashing into black van
RoadAccidents029_x264.mp4,the glass of the car broke as it crashed into the barricading,the white car drove into the boom barrier and its windshield broke,the barrier did not go up and the red car crashed into it,the barricade was hit by a car due to which its glass broke,the front windshield of the car shattered on hitting the boom barrier
RoadAccidents030_x264.mp4,a car crashes into a truck,truck and car crash into each other perpendicularly,truck and car crash into each other on the crossroad causing damage,truck loses control after crashing into a car,truck runs over two people because it crashed with a car
RoadAccidents031_x264.mp4,out of control rickshaw crashes into another rickshaw,rickshaw is overturned after crashing into another rickshaw,rickshaw turns away after being crashed into by another rickshaw,one rickshaw is crashed into another rickshaw ,a rickshaw is crashed into by an out of control rickshaw
RoadAccidents032_x264.mp4,a fast car crashes into another car,white car crashes into a black car near the gate,black car is overturned because of crashing into another car,passenger in black car is flung because of the accident ,white car comes to a stop after crashing and overturning black car
RoadAccidents033_x264.mp4,high speed car crashes into some people on the road,black car ran over the people crossing the street,pedestrians are flung because they crashed into a fast car,white car runs over an injured person on the road,a few people crossing the street are crushed by a black car
RoadAccidents034_x264.mp4,an out of control car crashes into a parked car,two cars bump into one another on the road causing an accident,two parked cars are crashed into by an out of control car,two parked cars are crashed into by a silver car,the two cars leave after crashing into some parked cars
RoadAccidents035_x264.mp4,a high speed car crashes into a bike on the road,police officer is flung into air because of a fast car running him over,silver car runs over a police officer and a bike,fast car crashes into side-walk after running over police officer,a car causes an accident injuring traffic police and people on a bike
RoadAccidents036_x264.mp4,a fast car in the alley crashes into a scooter,a white car crashes into a scooter and causes a fight,scooter is crashed into by a car from behind and people fight,person on scooter falls down because the car ran him over,a white car hits a scooter from behind and leaves
RoadAccidents037_x264.mp4,a car going in reverse crashes into an old man,a black car crashes into a guy in the parking,a guy is crashed into by a car going in reverse,man falls down because he is hit by black car,people hit the car after the driver ran an old man over
RoadAccidents038_x264.mp4,one out of control van crashes into scooter,a white van crashes into scooter,the scooter is crushed because an out of control van crashes into it,white van is overturned and crashes into a scooter,white van topples onto a scooter on the crossroads
RoadAccidents039_x264.mp4,a car crashes into a bicycle from opposite direction,a white car crashes into a bicycle with a kid on it,kid on the bicycle falls because of crashing into the car,the kid on a bicycle is run over by a car from the opposite direction,kid on the bicycle is run over by a white car
RoadAccidents040_x264.mp4,an out of control car crashes with another car on the road,a white car loses control and crashes into a blue car,white car loses control and topples over causing an accident,the blue car is destroyed because of a crash with a white car,a car loses control and bumps into other cars on the road
RoadAccidents041_x264.mp4,bus hits a car and took the car along with it in traffic,a car was pushed by a bus in the traffic,two vehicles got hit by each other in the traffic,bus hit a grey car and pushed it ,the grey car was pushed by a bus in the traffic
RoadAccidents042_x264.mp4,bus driver is asleep and the bus is in an accident,front glass of bus is shattered because of the crash,bus driver is injured because of the crash,bus gets into an accident because the driver lost control,the bus is destroyed because of the accident
RoadAccidents043_x264.mp4,two cars crash into each other perpendicularly,two cars crash into each other on crossroads,car crashes into the rear side of another car,one car drives off after being crashed into,car comes to a stop after crashing into another car
RoadAccidents044_x264.mp4,car crashes into a van,car and a van crash perpendicularly,car and a van crash on the crossroads,the van drives off after crashing with another car,car comes to a stop after crashing with the van
RoadAccidents045_x264.mp4,a truck loses control causing a huge accident,a truck is overturned on the highway causing accidents,an accident is caused by a truck overturning,a truck loses control after the turn and gets overturned,white truck gets overturned by losing balance onto another car
RoadAccidents046_x264.mp4,a truck crashes into two parked cars,yellow truck crashes into a black car parked on the side,some parked cars are crashed into by a yellow truck,truck drives off after crashing with two parked cars,a yellow truck squeezes through a tight road and bumps into cars
RoadAccidents047_x264.mp4,rickshaw is crashed into by a truck,a truck bumps into a rickshaw at the red light,people in rickshaw are run over because of crashing into a truck,truck crashes into a rickshaw on the crossroads,truck runs over the people in a rickshaw
RoadAccidents048_x264.mp4,a speeding car crashed into a pole,a man ran across the street as a car hit a pole ,a pole was hit by a speeding car,the blue car crashed into a pole and is damaged,the pole was hit by a blue car
RoadAccidents049_x264.mp4,a car drove into a store two customers dodged the crash,two customers jumped away as a car crashed into the store,a black car drove past the store breaking everything on its way,two people jumped as a car crashed into everything in the store,a store was destroyed by a car crashing in
RoadAccidents050_x264.mp4,the blue overtaking car crashed into the car from the other lane,two cars from different lanes crashed into each other,a car was hit by another car which was trying to overtake,two vehicles collided since one of them was overtaking,a traffic accident occurred where two cars crashed into each other
RoadAccidents051_x264.mp4,a reckless driver runs over some people at the crossing,three people got hit by a car while crossing the road,a car ran over three people on the road,an over speeding car hits three people and leaves,three people crossing the road get run over
RoadAccidents052_x264.mp4,a speeding biker is unable to react to the stopping car,car got in the way of a speeding biker causing an accident,speeding biker hits a car in its way,man got hurt when bike crashed with a car,car stops in front of a speeding bike
RoadAccidents053_x264.mp4,pickup truck intentionally runs over bikers after scuffle,bikers got run over by a pick up truck,pick up truck runs over two people on bikes,bikers get hurt after a scuffle with the truck driver,two bikers get run over after fight with a pick up truck driver
RoadAccidents054_x264.mp4,speeding vehicles do not see each other on a turn and crash,two vehicles crash into each other on an intersection,an accident took place at the intersection,a lady dodged two cars which hit each other,two speeding vehicles collided with each other and the wall
RoadAccidents055_x264.mp4,a careless driver does not hit the brakes,the driver does not hit brakes and hits the car in front of it,a car gets hit from behind by a careless driver,one car hits a steady car in front of it,a car could not stop and crashed into another car on the road
RoadAccidents056_x264.mp4,there is a collision at the centre of the junction,car and a biker approached each other into a crash,biker drives himself straight into a car at the intersection,speeding biker in a hurry gets hit by a car,the biker did not use space on his left and got hit by a car
RoadAccidents057_x264.mp4,a car crashes into something on the road and flips ,car crashes into a fire hydrant outside the house,fire hydrant causes a car to flip over,the car driver did not notice and hit a fire hydrant,fire hydrant stops a car abruptly and the car flips
RoadAccidents058_x264.mp4,the car driver opens the door suddenly and the biker crashes,biker drives into an open car door and falls down,van runs over an injured man on the road,careless man opens car doors without looking and causes an accident,a fallen biker gets run over by a van
RoadAccidents059_x264.mp4,a high speed bike crashes into a turning car,careless biker gets hit by a car on the road,car taking a turn hits a speeding biker,speeding biker crashes into a turning car,careless biker gets hurt by a turning car
RoadAccidents060_x264.mp4,a speeding car crashes into a turning car,turning car gets hit by a speeding car,a careless driver hits a turning car,two cars crash into each other near the intersection,speeding car crashes into a car turning at the red light
RoadAccidents061_x264.mp4,driver loses control of speeding vehicle and it flips over,car gets flipped over and goes off the road,driver loses control of the car and crashes it,driver loses control of the car and it flips over,car gets flipped over due to careless driving
RoadAccidents062_x264.mp4,the driver lost control over the vehicle and crashed it,driver loses control of the car and crashes into a parked car,a parked car gets hit by a speeding car,two people get out of car after hitting a parked car,parked car gets hit by a careless driver and people run away
RoadAccidents063_x264.mp4,a pedestrian tries to rush on the road and ends up colliding,pedestrian tries to cross the road and got hit by a car,car hits a pedestrian trying to rush past it,a pedestrian in a rush gets run over by a car,a careless pedestrian gets hit by a fast car
RoadAccidents064_x264.mp4,an out of control vehicle crashes into a parked car injuring a person,driver loses control of the car and drives itself into the parking,a careless driver gets thrown out of the car after the accident,driver flies out of the car after crashing into a parked area,the parked car is hit by a speeding car on the road
RoadAccidents065_x264.mp4,speeding car loses grip and crashes into a parked bike,speeding car hits a standing biker,car goes off the road and hits a biker,speeding car hits a standing biker,a biker gets run over by a careless car
RoadAccidents066_x264.mp4,the cyclist does not check the road before crossing and crashes,speeding biker hits a cyclist crossing the road,careless cyclist does not look before turning and gets hit,a cyclist gets run over by a biker,speeding biker could not react to turning cyclist in time and crashed
RoadAccidents067_x264.mp4,speeding car with careless driver crashes into a slow tempo,speeding car hits a slow tempo at the intersection,a careless car driver hits a slow moving tempo,tempo driver gets thrown out of tempo when hit by a speeding car,careless driver throws tempo driver out of tempo when crashed
RoadAccidents068_x264.mp4,a small kid walking on the road got run over by a car,kid who is too short to be seen by the driver gets run over,careless driver runs over a kid neglected by her mother,a kid neglected by mother gets run over by a car,car runs over a kid who is too short to be seen
RoadAccidents069_x264.mp4,a speeding truck runs a red light and crashes into a vehicle,car crashes into a speeding truck at the junction,speeding truck runs the red light and crashes into a car,careless truck driver gets thrown out of the truck when crashed into a car,speeding truck and car crash and the truck driver flies out
RoadAccidents070_x264.mp4,speeding car with a reckless driver crashes into a turning car,a speeding car crashes into a car turning at the crossing,a careless driver crashes into a turning car,a car making a turn gets hit by a speeding car,speeding car did not react to the turning car and bumped into it
RoadAccidents071_x264.mp4,amateur driver fails at reversing and collides with two parked cars,driver fails to reverse properly and crashes into two cars,two standing cars get hit by a reversing vehicle in the parking,amateur driver bumps into two standing cars while reversing,a driver after hitting two cars panics further in the parking lot
RoadAccidents072_x264.mp4,turning vehicle does not check the road and bumps into traffic,turning car gets hit by an oncoming speeding car,speeding car does not react to the turning car and bangs into it,careless driver does not look before turning and causes an accident,speeding vehicle does not slow down when sees a turning vehicle
RoadAccidents073_x264.mp4,car driver does not notice the cyclist and ends up colliding,car driver ignores the cyclist and ends up crashing him,a turning car does not check the road and bangs into a cycle ,a car pulling up on the road crashes into a cyclist,a careless car driver hits a cyclist on the main road
RoadAccidents074_x264.mp4,a speeding biker loses control of the bike and bangs in a car,speeding biker does not react to the turning car and crashes,speeding biker crashes into a turning car and injures another man,another speeding biker crashes into a fallen biker on the road,speeding biker loses control of the bike and gets crashed into the car
RoadAccidents075_x264.mp4,a truck and a bus crash perpendicularly,a red bus hits an overloaded truck and it loses balance,the red bus hits a truck and it almost flips over,a bus and a truck collide on a busy street,the bus hit the truck at the crossing of a busy road
RoadAccidents076_x264.mp4,an amateur driver fails at reversing and crashes into several things,amateur driver fails at reversing and bangs several vehicles,an amateur driver hits two bikes in the parking,an amateur driver hits two cars while leaving the scene,driver panics and crashes into two cars while leaving the scene
RoadAccidents077_x264.mp4,a car driver knocks over a pedestrian and does not stop,a vehicle hits a pedestrian and drives away,the person got hit by a vehicle ,the vehicle ran into the pedestrian,the driver drove over the pedestrian
RoadAccidents078_x264.mp4,bus driver reverses carelessly and crashes into a parked bus,the parked bus got damaged by the bus that was reversing,the driver while reversing the bus bumped into a parked bus,the standing bus got damaged by a moving bus,the bus driver did not notice the parked bus while reversing
RoadAccidents079_x264.mp4,a van driver ran over a person in the parking lot and left,a speeding van while making a turn knocks down a few people ,two people got into accident as the van driver made a sharp turn,the speeding van driver hits a parked car and two people,the van was turning with high speed and smashed a parked car
RoadAccidents080_x264.mp4,high speed car loses control and crashes into the glass window,an over speeding car smashed directly into the building,the store got destroyed as a car got out of control and crashed,the driver lost control and the car smashed into the glass window ,the car moving with high speed wrecked the building 
RoadAccidents081_x264.mp4,high speed car loses control and crashes into three vehicles,a car came with high speed and smashed three parking cars,an over speeding car collides with cars parked on the roadside,the cars parked on the side of the road got damaged in an accident,the driver loses control and the rushes into three parked cars 
