RoadAccidents001_x264.mp4,car and motorcycle are approaching crossroads,car and motorcycle are going fast and could cause accident,car and motorcycle crash into each other causing an accident,man on motorcycle is flung into air because of accident,accident happens because car and motorcycle were going fast
RoadAccidents002_x264.mp4,an out of control bus approaches busy street,bus crashes into street light and parked car causing accident,bus crashes into objects on side-walk,civilians on the side-walk move away from the bus,bus finally stops after crashing into side-walk
RoadAccidents003_x264.mp4,a kid is riding a bicycle,kid on the bicycle enters a house,the kid fails to apply brake on the bicycle,bicycle crashes into the front stairs of the house causing accident,kid falls down from the bicycle due to the accident
RoadAccidents004_x264.mp4,busy crossroad with cars is shown,one car takes a left turn,another car approaches from opposite direction in high speed,two cars crash into each other causing accident,two cars get into accident on crossroads
RoadAccidents005_x264.mp4,a car is taking reverse,another car approaches the car perpendicularly,two cars crash into each other perpendicularly,one cars keeps going in reverse,other cars come to a stop
RoadAccidents006_x264.mp4,a high speed car crashes into the wall,the silver car crashes into the wall,the wall is hit by the fast car,the wall is crashed into by fast car,smoke arises because fast car crashes into wall
RoadAccidents007_x264.mp4,two vehicles on a road crash into each other,an accident happens because vehicles going in opposite direction crash,blue car changes lane and crashes into white mini truck,both vehicles come to a stop because of crash,white mini-truck is crashed into by blue car going in opposite direction
RoadAccidents008_x264.mp4,fast car crashes into parked car,silver parked car is crashed into by fast car,silver car is flung across because of fast car crashing into it,the passenger in the silver car is thrown out because of the crash,passenger in silver is thrown out because of the crash
RoadAccidents009_x264.mp4,fast car approaches crossroad about to crash,black car going fast approaches crossroad about to crash,black and fast car crashes into pedestrian,black car going fast crashes into the side-walk,black car going fast is about to crash into gas station on side-walk
RoadAccidents010_x264.mp4,red bus going down the slope is about to crash into parked car,a red bus crashes into a parked car,a silver parked car is crashed into by a red bus,silver parked car crashes into a man walking on the side-walk,man on side-walk is crashed into by a car because of the red bus
RoadAccidents011_x264.mp4,two vehicles on the crossroad are about to crash into each other,a blue tempo crashes into a car on the crossroad,yellow car is crashed into by a blue tempo perpendicularly,blue tempo and yellow car come to a stop because of crash,crash between tempo and car results in them stopping
RoadAccidents012_x264.mp4,a fast car on crossroads is about to crash into another car,two cars going in opposite direction about to crash into each other,two silver cars crash into each other ,a silver car is crashed into by another silver car going in opposite direction,a car is overturned because of crashing into another car
RoadAccidents013_x264.mp4,out of control car about to crash in a gas station,blue car crashes into two people ,blue car crashes into petrol tank,fire erupts because of blue out of control car crashing into petrol tank,two men are crashed into by a blue car out of control
RoadAccidents014_x264.mp4,high speed motorcycle crashes into car,black motorcycle with two people crashes into a car,a white car is crashed into by a high speed motorcycle with two people,two people fall off from a motorcycle because of crash into car,motorcycle crashes into car going in opposite direction
RoadAccidents015_x264.mp4,high speed motorcycle crashes into car,black motorcycle with two people crashes into a car,a white car is crashed into by a high speed motorcycle with two people,two people fall off from a motorcycle because of crash into car,motorcycle crashes into car going in opposite direction
RoadAccidents016_x264.mp4,fast car crashes into another car on crossroads,brown car crashes into white car ,brown car is flung to side-walk because of crash,brown car loses control because of crashing into white car,brown car loses control because of crashing into white car
