File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Explosion001_x264.mp4,there is an explosion across the street,everything is destroyed due to an explosion,something explodes nearby causing destruction,massive flames are all over the place in an explosion,a sudden explosion results in destruction all around
Explosion002_x264.mp4,a car is on fire at the gas station,a car catches fire because of the phone,a red car is in flames while refuelling at the pump,using phone at the gas station results in an explosion,a man uses phone while refuelling causing the explosion
Explosion003_x264.mp4,engine of a car explodes on the road,there is an explosion in the car while moving,passengers run out as there is an explosion in the car,a car stops in the middle of the road due to an explosion,people run out of the car as the engine explodes
Explosion004_x264.mp4,fire fighters try to put out the fire in an explosion,a man put out fire after the explosion at the house,the house is on fire due to a blast,firemen put out a fire at the house,firemen use water to control the flames after the blast
Explosion005_x264.mp4,a vehicle on the road catches fire and crashes,an auto on fire crashes into other vehicles,an auto on the road is in flames,the burning rickshaw crashes into the barricade ,a rickshaw is on fire and crashes into a truck on the road
Explosion006_x264.mp4,a car on the crossing suddenly explodes,there is an explosion in a car at the intersection,a car is completely destroyed due to some explosion,engine of a car explodes and passengers run out,a lot of smoke comes from the explosion in the car
Explosion007_x264.mp4,people are walking when there is an explosion,something suddenly blasts on the street,there is an explosion nearby at night,there is a blast on the street somewhere,some explosion nearby causes smoke all around
Explosion008_x264.mp4,there is a huge explosion in the desert,black clouds of smoke surround the desert,a huge explosion on the roadside destroys everything,Surroundings are in dust and smoke after the blast,a huge blast causes wide destruction all around
Explosion009_x264.mp4,flames emerge all around the garage,two people catch fire in the explosion and run,people working at the garage run due to the explosion,fire surrounds the garage and people start running,two people catch fire in the explosion near the garage
Explosion010_x264.mp4,there is a huge explosion behind the trees,black clouds of smoke emerge due to the blast,the surrounding is covered in smoke and dust in a blast,dark smoke comes from somewhere behind the trees,clouds of dark smoke are in the air due to an explosion
Explosion011_x264.mp4,someone throws an explosive on the bus,there is a minor explosion on the moving bus,two men on bike throw an explosive on the bus,people on the other side throw explosive on the bus,a man throws a burning thing on window of a bus
Explosion012_x264.mp4,there is a huge explosion on the roadside,grey smoke is all around due to an explosion,suddenly something blasts on a busy road,there is a blast on the footpath during the day,everything nearby is destroyed in an explosion
Explosion013_x264.mp4,a truck catches fire at the gas station,there is an explosion in a truck at the fuel station,a man is sitting on a truck when there is an explosion,a man catches fire in an explosion at the gas station,a truck blows up at the gas station and a man is on fire
Explosion014_x264.mp4,a car crashes in the toll booth and catches fire,a car is on fire at the toll gate and police arrives,a speeding car crashed at the toll gate and explodes,there is an explosion at the toll booth due to a car,a speeding car does not stop at the toll gate and crashes
Explosion015_x264.mp4,a car on the road is on fire,a man is running away from a burning car,a car is on fire and is moving on the road,flames are coming from a car on the road,a burning car pulls up on the road and traffic stops
Explosion016_x264.mp4,there is an explosion inside the building,some explosive goes off in the huge building,dark smoke comes from the building after the blast,an explosive detonates and smoke comes from the building,there is an explosion inside the entrance of the building 
Explosion017_x264.mp4,a bike catches fire at the petrol pump,a bike catches fire while refuelling,a man and his bike are on fire while refuelling,there is an explosion in the fuel tank at the petrol pump,a bike blows up and the man catches fire at the pump
