Shoplifting001_x264.mp4,two people stealing from a store,two people steal something from an electronics store,two people in orange and white sneaked electronic items in their shirt,people stealing from store aisle,two people shoplift from a store
Shoplifting002_x264.mp4,a person picks something from the counter,a person steals from a cyber cafe,a person wearing a hat tugs something in his shirt,a person steals a white item and tugs in his shirt,a person drags some things on the table and hides in his shirt
Shoplifting003_x264.mp4,lady behind the fan steals from the shop,woman sitting in front of fan steals something,an object is stolen by a woman from the shop,a woman hides an object in her dress,a lady hides some item in her dress
Shoplifting004_x264.mp4,half a dozen men in a shop,two elderly men waiting at a counter,a person counting money,a person talking to an elderly man,a person walking past two elderly men
Shoplifting005_x264.mp4,two men talking in a store,a person tugs jewellery in his friend’s jacket,two people shoplifting from a store,two people steal jewellery from a store,a person hiding jewellery box in his jacket
Shoplifting006_x264.mp4,a man runs away with something from a store,a man steals from a small store,a man wearing a cap steals jewellery from a store,a man steals jewellery from a store counter,a man standing at the store runs away with something
Shoplifting007_x264.mp4,two women steal from a cloth shop,two women tug items from a shop,two women steal clothing from a cloth store,two women steal sari from a cloth store,two women hide items from a store and run away
Shoplifting008_x264.mp4,a man steals something from a store counter,a man picks a calculator from a store,a man picks up an item lying on the table,a man steals the calculator from the counter,a man steals an item from the store counter
Shoplifting009_x264.mp4,a pan steals a box from a store,a man walks away with an electronic item put on the shelf,a man steals an electronic item from the shelf,a man hides an electronic item and walks away from the store,a man steals and walks away with an electronic item from the store
Shoplifting010_x264.mp4,a girl hides items in her bag,a girl steals items from a store,a girl puts items from a store aisle in her bag,a girl stealing from a store,a girl steals something from a store
Shoplifting011_x264.mp4,a man hides goggles in a store in his sleeve,a man steals sunglasses from a store,a man tugs something in his jacket,a man hides something in his jacket’s sleeve,a man steals half a dozen sunglasses from a store
Shoplifting012_x264.mp4,a woman steals a sari from a store,a woman in a store steals saris,a woman hides something in her bag,a woman steals some things from the counter,a woman steals from a clothing store
Shoplifting013_x264.mp4,a lady steals from a clothing store,three women stealing from a store,a group of women steal items from a clothing store,a group of women steal items from a clothing store,some women hide items in the store in their bags
Shoplifting014_x264.mp4,two woman hide clothes in their bags,two women steal items from a store,a woman hides clothes in her bag,a group of women steal clothes from a cloth store,two women with a baby shoplift from a store
Shoplifting015_x264.mp4,a man picks something from a store,a man steals something from the counter,a man walks away with something from a store counter,a man steals a calculator from an electronics store,a man steals something from an electronics store
Shoplifting016_x264.mp4,a woman steals a box from a store,a woman steals a laptop from a store,a woman hides a brown box under her clothes,a woman hides something under her clothes,a woman carrying a bag tugs a big brown box under her clothes
Shoplifting017_x264.mp4,a man steals something from behind a counter,a man steals an item from behind the counter,a man picks something from the counter,a man steals something from a store,a man steals something from a store
Shoplifting018_x264.mp4,a lady hides items in her clothes,a lady steals from a store aisle,a lady picks items in her clothes,a lady steals items and puts in her clothes,a lady hides something in her clothes
Shoplifting019_x264.mp4,two men run away with something from a store,two men steal from an electronics store,two men run away with big boxes,a group of men steal big boxes from a store,a group of men steal big boxes from an electronics store
Shoplifting020_x264.mp4,a person steals something from a store,a person steals items from behind the counter,a person picks something from behind the counter,two people steal something from a store,two people run away with something from a store
Shoplifting021_x264.mp4,a lady picks something from behind the counter,a lady steals something from a store,a lady shoplifting,a lady hides away something from the counter,a women in black stealing from a store
Shoplifting022_x264.mp4,a boy and a girl stealing from a store,a boy and a girl steal something from a store,two people stealing from a store,a boy hides something in his jacket,a girl and a boy hiding boxes in their clothes
Shoplifting023_x264.mp4,a person stealing from a jewellery store,a lady stealing from a shop,a lady steals something from the counter,a lady shoplifting,a lady hides something in her bag
Shoplifting024_x264.mp4,a girl stealing from a store,a girl stealing from the counter,a girl hides something in her pockets,a girl steals something from a small shop,a girl hides something under her notebook
Shoplifting025_x264.mp4,two women stealing clothes from a store,two women stealing from a store,two women steal clothes from a store,two women steal clothes in a store,two women shoplifting in a store
Shoplifting026_x264.mp4,a women tugs items in her bag,a woman stealing from a shop,a woman hides away items in her bag,a woman stealing clothes from a shop,a woman stealing items from a cloth store
Shoplifting027_x264.mp4,a man picks items from the counter,a man steals something from a store,a man wearing a cap steals something from a store,a man walks away with something from the store,a man steals a small item from the store counter
Shoplifting028_x264.mp4,a man and woman steal items from a store,a man and a woman steal items from a store aisle,a man and woman stealing,two people stealing small items from a store,two people shoplifting
Shoplifting029_x264.mp4,a group of people steal clothes,a small group of men steal items from a store,three men steal clothes from a store,three men steal items from a clothing store,a group of men steal clothes from a store
Shoplifting030_x264.mp4,a man wearing a cap steals something from an electronics store,a group of people stealing from an electronics store,a group of three people stealing items from an electronics store,three people hide items on display from an electronics store,a group of people steal items from an electronics store
Shoplifting031_x264.mp4,a man hides something in his shirt,a man in white steals something from a store,a man tugs something in his clothes,a man stealing from a store,a man steals something from a store aisle
Shoplifting032_x264.mp4,two people stealing from a store,two people run away with items from a store,two people steal items from a store,two people run away with lots of items from a motor store,a group of people stealing from a store
Shoplifting033_x264.mp4,a group of people steal from a clothing store,a boy hides something in his pants,a boy stealing from a store,a man and a woman steal something from a clothing store,a women and a man lift from a store
Shoplifting034_x264.mp4,two people stealing from a store,a man and a woman steal items from a store,a man and a woman steal items from a small store,a man and a woman steal items from a small store,two people stealing from a shop
Shoplifting035_x264.mp4,a man stealing an electronic item,a man stealing from an electronics store,a man steal from an electronics store,a man hides a phone in his pocket,a man steals a phone in his pocket
Shoplifting036_x264.mp4,a woman stealing clothes from a store,a woman stealing something from a clothing store,a woman in purple stealing clothes from a store,a woman stealing items from a clothing store,a woman stealing something from a clothing shop
Shoplifting037_x264.mp4,a man runs away with jewellery from a store,a man steals gold from a store,a man steals from a jewellery store,a man steals something from the counter,a man steals jewellery from the shelf
Shoplifting038_x264.mp4,a man steals and runs away,a man steals something from the store,a man steals a bag from the counter,a man steals something from the shelf,a man steals a bag from the shop
Shoplifting039_x264.mp4,a man steals a big box from a store,a man steals a big box,a man lifts a big white box from the store,a person steals a box from the shop,a person carrying a big white box
Shoplifting040_x264.mp4,three women stealing clothes from a store,a group of women steal clothing from a store,a group of women steal items from a store,a group of women stealing clothes from the shop,a group of woman steal from a clothing shop
Shoplifting041_x264.mp4,a lady shoplifting,a lady hides something in her bag,a lady steals something in her bag,a lady steals clothes from a store,a woman wearing a sari steals something from a shop
Shoplifting042_x264.mp4,a person wearing a hat steals from a store,a group of people stealing from a store,a group of people steal items from a store,a group of three people hide items in their bag,a group of three people stealing from a shop
Shoplifting043_x264.mp4,a lady stealing clothes from a store,a group of ladies steal clothes in their bags,a group of women hide away items in a shop in their bag,a group of women steal items from a store,a group of women steal from a cloth shop
Shoplifting044_x264.mp4,a person stealing from an electronics store,a man carrying a briefcase steals from a store,a man hides electronics in his bag,a man stealing from an electronics store,a man is stealing from an electronics showroom
Shoplifting045_x264.mp4,a large group of people run away with items from the store,a large group of people stealing from a shop,a group of people stealing from a shop,a group of people run away with items from a store,a large group of people run away with items from a store
Shoplifting046_x264.mp4,a girl stealing from a shop,a little girl stealing items from a shop,a little girl stealing something from a store,a little girl steals from a store,a little girl runs away with something from a store
Shoplifting047_x264.mp4,a group of girls stealing from a store,a group of people stealing from a food store,a group of people steal something from a store,a group of people stealing items from a store,few girls stealing from a food shop
Shoplifting048_x264.mp4,a group of women stealing from a store,a group of women hide something in their clothes,a women hides something under her clothes,a women stealing something from a store,a group of women steal items from a shop
Shoplifting049_x264.mp4,a man steals phones from an electronics store,a man steals items from an electronics store,a man stealing from the shelf,a man steals items from the counter,a man stealing phones on the counter of a shop
Shoplifting050_x264.mp4,a man snatches something from an electronics store,a man stealing from a store,a man steals a phone from the shelf,a man steals something on the counter,a man shoplifting from an electronics shop
