File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Vandalism001_x264.mp4,two people are standing with an electric saw to cut the pole,two men cut an electric pole with a saw,a pole is being vandalized with an electric saw,people vandalize a silver coloured pole with a saw,person in the blue jacket is cutting a pole with an electric saw
Vandalism002_x264.mp4,a man is trying to throw an object on the building,man keeps throwing even after objects falls,another man enters and starts throwing stones,two men are throwing a stone on the building,two people try to vandalize the building by throwing stones
Vandalism003_x264.mp4,two kids are playing on the road before pushing the scooter,two kids see two scooters parked on the road and push one of them,two kids start pushing one scooter,two kids throw a scooter down and run away,the parked scooter falls on the road when it is pushed 
Vandalism004_x264.mp4,a black car rams into the traffic signal,traffic signal is being vandalized by some driver,car keeps ramming into the traffic signal,the car breaks the barriers at the stop light,the barrier is broken by the car at the intersection
Vandalism005_x264.mp4,a man scratches the cars with some object,two cars are scratched by a man at night,a man vandalizes two cars by scratching the doors,the paint work of two cars is vandalized by a man,two parked cars are scratched by a man at night
Vandalism006_x264.mp4,a man is trying to break the door,the man tries to break the door with a fire extinguisher,man is breaking the door with a bag,a man is pushing the door with his leg,man is trying to vandalize the door without the key
Vandalism007_x264.mp4,three men are trying to vandalize the cars,one man is checking all the cars to steal,person is kicking the car to cause damage,the thieves are kicking and punching cars on the road,the three men want to steal cars parked on the road
Vandalism008_x264.mp4,two men enter a shop and vandalize it,one man breaks the glass window at the store,a person is seen throwing stuff at the shop to shatter glass,objects are thrown on the floor by two men in hoodies,two men vandalize a shop and run away
Vandalism009_x264.mp4,three people are vandalising a store,one person tries to break the window,a man person punches the store window to break it,the window is being broken by some men,a group of three men are trying to break the window
Vandalism010_x264.mp4,a customer misbehaves with staff of the supermarket,a customer hits the staff at the counter and leaves,a customer breaks the computers in anger,man tries to vandalize the shop,customer vandalizes the counter since he is angry
Vandalism011_x264.mp4,man throws all three dustbins on the ground,two people on the other side of the road throw dustbins,three men vandalize on the streets at night,three people run around throwing garbage bags from the bins,three guys litter on the street at night by throwing garbage
Vandalism012_x264.mp4,two men are vandalising the street,one person throws the machine on the footpath,the men run away after throwing,man throws the object at the corner of the road,street is being vandalized by people
Vandalism013_x264.mp4,three people break in the christmas area,people are stealing the statues,the men take away the show-piece at the mall,the christmas decoration is vandalized by three men,three people run away after stealing the statues
