File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Burglary001_x264.mp4,the burglars rammed the car into the main gate,two people come out of the car to rob the place,a burglary takes place at the atm,the thieves destroy the gate and rob the atm,the main gate is taken down by the burglars
Burglary002_x264.mp4,a man enters the garage and takes out stuff,man in a white jacket looks through the fridge,a person takes stuff from the fridge in the garage,a man in white clothes looks through some things,a man picks some things from the fridge
Burglary003_x264.mp4,a man looks through a box in the storage,someone opens a box and picks some thing up,a burglar takes something from a box in the room,a person takes an item from the storage room,a man looking for something goes through the box
Burglary004_x264.mp4,a car rams through the door to rob the place,three people rob and damage the store ,a car damages the door for the burglars,the burglars take a machine from the store,the driver helps two burglars to rob the place
Burglary005_x264.mp4,a burglar breaks the door and steal a television,burglars break in into a house and take a television,two men steal a television by kicking down the door,a man kicks in the door to rob the house,two burglars force their entry and take out a television
Burglary006_x264.mp4,a man crawls through the room,a man looking for something was crawling,someone tries hiding by crawling through the room,a man sneaks around the room,a burglar crawls through the store
Burglary007_x264.mp4,a burglar ties up the machine to steal it,a machine is tied to the truck and pulled out,two men break in a store to steal a machine,a machine is tied to the truck with a rope and pulled,two burglars pull out a machine from the store
Burglary008_x264.mp4,two burglars take out a machine from the store,a restaurant is robbed by two people,two robbers lift a device out of the restaurant,the burglars take a machine to the truck outside,two people in black clothes rob a machine
Burglary009_x264.mp4,a couple of burglars rob the store,people in black clothes rob the store,there is a robbery at a store by some men,the burglars destroy the shop looking for something,four people execute a burglary at the store
Burglary010_x264.mp4,four burglars try robbing atm machines,a few men try to break into the atm machines,robbers in masks attempt a burglary at the atm,some people in masks try opening the atm with rods,four men with rods try to rob two atm machines
Burglary011_x264.mp4,a car knocks over everything in the office,two burglars enter after a car rams through the door,a car and two burglars force their entry in the office,a car destroys the whole office with the burglars,a car knocks down the shutter to rob the place
Burglary012_x264.mp4,two burglars rob a store,two robbers take things off the shelf in the room,two men rob guns from the store,two men take out and pick things from the shelf,two men take guns in a burglary at the store
Burglary013_x264.mp4,three men rob money from the atm,burglars break open the lock to rob the atm machine,the burglars break the lock and take the money,three people break open the machine in a burglary,the burglars tie the atm machine to remove the cover
Burglary014_x264.mp4,the burglars tie big things with the car to pull out,the big machines in the store are pulled out by a car,the burglars rob the store with the help of a van,the van pulls out the stuff from the store in a burglary,a few men rob the store with a van
Burglary015_x264.mp4,a lot of people enter a store and take things,the store suddenly gets crowded and people steal,many people crowd the store to steal things,several people come in and walk out with things,some men and women rob the store by crowding it
Burglary016_x264.mp4,two burglars come in a car to rob the garage,a car enters a garage with robbers,the burglars try to break the lock with a tool,two burglars come in a car and try breaking the lock,two people attempt a burglary at the garage
Burglary017_x264.mp4,a man climbs over the counter looking for something,a man jumps on the counter and opens the drawers,someone tries peaking behind the reception,man peaking around takes something from the table,man in a jacket peaks around at the reception desk
Burglary018_x264.mp4,a burglar tries opening the door but fails,man in a helmet leaves after not being able to break in,man wearing a helmet is not able to pick the lock,a man attempts burglary at the house but fails,someone tries picking the lock at the house but fails
Burglary019_x264.mp4,a man tries stealing something from the cabin,the burglar takes something from the desk,a man is trying to steal something but is not able to,a man tries stealing a white device through the window,the burglar is unable to take the device out from the window
Burglary020_x264.mp4,a person in a hat breaks in the store,the burglar breaks in and looks for something,the burglar tries opening the drawers of the desk,a man breaks the glass to enter the store,a man enters the store and tries opening the drawers
Burglary021_x264.mp4,two burglars steal a bike from the garage,burglars break in using a truck and steal a bike,the burglars break down the shutter to steal bikes,two guys load a bike stolen from the garage in a truck,the burglars use a truck to gain entry and steal
Burglary022_x264.mp4,two burglars break into a house and steal stuff,two people in black clothes rob a house,the burglars break down the door to rob the house,the house door is kicked in by the burglars to rob it,two burglars in black clothes break in and enter to rob the house
Burglary023_x264.mp4,a man in the workshop is using a bicycle,someone is the workshop takes out a bicycle,a man takes out the bicycle from the wall,a man is fiddling with a bicycle in the room,a man in the workshop picks the bicycle off the wall and stands
Burglary024_x264.mp4,a topless man is looking for something in the desk,the burglar looks through the drawers at the front desk,a topless man searches for things in the cabinets,a man goes through the table at the store,a man in the store is searching for something at the front desk
Burglary025_x264.mp4,a man walks around the house while searching,the guy inside the house is looking for something,a man is walking around and going through things,a man searches high and low for something,a person wearing a jacket searches throughout the house
Burglary026_x264.mp4,a man enters through the window to steal,a man in a hoodie steals a bicycle from the room,the burglar enters from the window to steal a bike,a bicycle is taken during a burglary in the room,burglar enters through the open window in the room to steal
Burglary027_x264.mp4,a car rams through the shutter to rob the store,burglars break in a electronics store with a car and rob,burglars in black outfits steal phones and laptops,two burglars come in a car and rob the electronics store,two burglars get out of the car and rob the electronics store
Burglary028_x264.mp4,a few men attempt a burglary at a house,some men standing near the window try to break in,a few burglars try breaking in at the house,the burglars try entering the house through windows,some men attempt opening the windows to enter the house
Burglary029_x264.mp4,two men search around the house wearing gloves,two burglars wearing gloves look around the kitchen,the burglars search for something near the fridge,two burglars with gloves search the kitchen,burglars walking around the house are searching for something
Burglary030_x264.mp4,three guys look around the empty house,a couple of burglars search the entire house,three burglars try robbing the house,three people search the house holding a torch,the burglars walk around an empty house looking for something
Burglary031_x264.mp4,man in a black jacket breaks in a store and robs,a man enters a store and takes money from the register,a store is being robbed by a man in black clothes,a burglar enters the store and takes money and items,money in the register and items are stolen in a burglary
Burglary032_x264.mp4,a few robbers rob the office,a burglar passes the computer out of the window,the burglars rob computers and other stuff,a burglars takes place at the office by three men,the burglars use the window to take stuff out of the office
Burglary033_x264.mp4,a man checks to see if the house is empty,a man tries breaking in the house but runs away,a man looks inside the house and runs away,the guy ran away after peaking inside the house,a man tries entering the house but fails
Burglary034_x264.mp4,a few men rob a restaurant,some burglars take stuff from the desk at the restaurant,burglars rob the cashiers desk at the restaurant,people come in the restaurant and run away with stuff,the burglars take things from the desk and run away
Burglary035_x264.mp4,two people break in and enter a house,a man gives another burglar entry into the house,burglars enter from the window and the front door,two burglars enter a house by breaking in,someone enters the house from a window and opens the door
Burglary036_x264.mp4,a man robs money from the bar,the burglar looks through the drawers for money,there is a burglary at the bar committed by a man,the burglar looks through the cash register for money,a man enters the bar and looks for money in the register
Burglary037_x264.mp4,two burglars steal bottles from the shop,after stealing bottles the burglar tries taking the register,a man in the shop was unable to steal the register,two men take bottles and fail to take the cash register,a man tries pulling out the cash register but is not able to
Burglary038_x264.mp4,two burglars search the house for something,the burglars enter the house from the kitchen window,burglars climb in from the kitchen window to rob,the burglars enter from the window and look around,two men walk around in the kitchen searching for something
Burglary039_x264.mp4,a couple of burglars load stuff in the red car,a few men rob the house and keep it in a red car,a red car is waiting outside for the burglars to rob,the burglars steal a television from the house,a television along with other things are stolen from the house
Burglary040_x264.mp4,a burglar enters the house from the window,a man climbs in the living room window to rob the place,the burglar walks around the living room searching,the burglar enters from the window and looks around,a man enters the house from the living room window to rob
Burglary041_x264.mp4,man in a scarf steals money from the register,the burglar climbs over the counter to rob,a man jumps over the desk to steal money,the burglar takes all the money from the cash register,burglary is committed at a bank by man in a scarf
Burglary042_x264.mp4,three burglars walk around the house searching,the burglars close the blinds in the house for privacy,a few men in white outfits draw the blinds inside,three men walk around the house and close the blinds,the burglars search the house and draw the blinds
Burglary043_x264.mp4,the burglar looks around and breaks in the house,the man makes sure the house is empty by peaking,man in a grey hoodie breaks down the main door,the burglar checks if no one is around before robbing,a man peaks in and around the house before breaking in
Burglary044_x264.mp4,a man struggles to break in the house,burglar uses a lever to open the door lock,a man tries to break the lock with a lever and enters,the burglar breaks the door lock and enters the house,a man tries opening a locked door to rob the house
Burglary045_x264.mp4,a man shatters the glass door at the supermarket,a burglar breaks the glass door to rob the store at night,the glass door is shattered to open the locked door,man in a black hoodie breaks down the door with a bat,a person breaks in the supermarket at night to rob
Burglary046_x264.mp4,a few burglars rob a jewellery store,the burglars shatter the glass door to rob the store,burglars enter through the main door and steal,jewellery is stolen by some men in black outfits,people break in into the store and steal jewellery from the shelves
Burglary047_x264.mp4,two men rob an office,the burglars take items from the desk and leave,two men in hoodies commit a burglary at the office,two burglars take valuable items in the room,men wearing hoodies are robbing the place
Burglary048_x264.mp4,two burglars rob a house,a burglar steals television while the other enters from a window,the burglars enter an empty house and steal a television,an empty house is being robbed by two burglars,a burglar tries stealing a television and the other walks around
Burglary049_x264.mp4,a burglar robs the gun shop and leaves,man in a grey hoodie steals rifles from the shop,the burglar fills the bag with guns and runs away,guns and rifles are stolen by a man in a burglary,a gun store is robbed by a man wearing a grey hoodie
Burglary050_x264.mp4,man picks something up and hides it in his jacket,a man steals something from the table at the store,a customer steals something from the shop,a man steals and hides the item from the counter,a man talks to the employee and steals from the store secretly
Burglary051_x264.mp4,two men commit burglary at an empty house,the burglars steal multiple items like television from the house,a few men rob a house,some men steal items from the house and take them,an empty house is being robbed by some men
Burglary052_x264.mp4,two men open the lock at the main gate of a house,the burglars break open the lock and look around,two burglars open the lock of the first gate of a house,lock of the house is bypassed by robbers in a burglary,two men try committing a burglary at a house by breaking in
Burglary053_x264.mp4,a few men attempt a robbery but get scared,the burglars try to rob a house but run away from outside,the camera on the front porch scares the burglars,burglars see the camera before breaking in and run,the burglars run from the front porch after seeing the camera
Burglary054_x264.mp4,a man snoops around in the room,a burglar wearing a hoodie searches the house,man in a hoodie searches for something in the room,someone is in the room in a hoodie trying to rob,a burglary takes place in the house
Burglary055_x264.mp4,a man in a cap brings things from the warehouse,a man loads stolen items in a white van,a white van in front of the house has stolen items,two people in caps steal items from a warehouse,a man runs in the warehouse again after loading things in the van
Burglary056_x264.mp4,two men in hoodies rob a store,two burglars take items from the cashier desk,a store is being robbed by two people in jackets,the burglars with covered faces rob the store,a store is being robbed by two people with covered faces
Burglary057_x264.mp4,two people cover their faces while robbing an atm,two burglars drill into the atm machine to rob,a burglary is committed by two people at the atm,the atm machine is drilled into by a couple of burglars,atm machine is robbed by two men in masks in a burglary
Burglary058_x264.mp4,a man breaks into the gun shop,a robber shatters the glass window and enters the shop,a man breaks the glass and enters the gun shop,a burglary is attempted at the gun store by a man,a man attempts opening the inside door after breaking in
Burglary059_x264.mp4,man in a black hoodie breaks in a room,man in a hoodie picks up the key and opens the lock,man wearing a black jacket steals the room key,someone steals a key and enters a locked room,a key is kept outside and a man picks it up to enter the room
Burglary060_x264.mp4,a man wearing a cap steals a bicycle at night,a burglar looks for an unlocked cycle to steal,a cycle is stolen from the front porch at night,a man picks up an unlocked cycle and walks away,a cycle gets stolen by man in a cap from the front porch
Burglary061_x264.mp4,the burglar breaks the glass of the store to steal,a man shatters the glass door and steals from the desk,a burglary is committed at night in the store,the burglar tries stealing money from the cash register,a man breaks in the shop and steals from the cash register
Burglary062_x264.mp4,two men try cutting through the garage shutter,two burglary try breaking in the storehouse but run away,the burglars try to drill in the shutter but fail,a burglary is attempted at the warehouse by two men,the burglars cut a hole in the shutter and run away
Burglary063_x264.mp4,a man tries breaking in the door but fails at first,the office is broken in to by a man after failing first,the burglar steals office equipment after two attempts,a man attempts burglary and fails at first but retries,multiple attempts are made by a man to steal from the office
Burglary064_x264.mp4,two burglars in black outfits rob the safe,a robber breaks open the safe and takes stuff out,two people commit burglary at the empty store,two people in complete black clothes rob a store,a person breaks in the safe and passes stuff to another robber
Burglary065_x264.mp4,two burglars open the gate to let in their car,the burglars bring in their car from the main gate,the gate is adjusted by robbers for their car,two burglars and a driver break in the house to rob it,two men carefully slide open the main gate to let in their car
Burglary066_x264.mp4,a guy steals cleaning supplies from the laundry,a man forcefully opens the cabinets full of supplies,a man steals from the laundry cabinets,laundry detergent and other supplies are being stolen,a robber opens the detergent cabinets forcefully to steal
Burglary067_x264.mp4,a man looks and picks items from the front yard,a man snoops around on the front porch before robbing,someone picks stuff from the front yard of the house,a man looks around and snoops around the house,the burglar is looking for items to steal from the front porch
Burglary068_x264.mp4,two people enter a showroom and steal mobiles,a man and a woman rob an electronics store,a burglary is committed by two people at the showroom,the woman ran away after stealing a few phones,the two burglars enter an open store and steal mobiles
Burglary069_x264.mp4,man in a jacket wraps up the television to steal it,a man is stealing a television from the house,a television is being stolen by a man in a burglary,a house is being robbed by a person in a jacket,the man picks up the television and puts it in a polythene bag to go
Burglary070_x264.mp4,a few people in helmets rob a store,the burglars break in a closed store and rob it,the robbers in helmets run around the store to steal,several items are being stolen by some people,a few men in helmets steal multiple items in a burglary
Burglary071_x264.mp4,a man with a jacket on his head snoops around,a burglar attempts to rob the store and looks around,the robber snoops around the cabinets in the front desk,a man wearing a jacket tries to steal from the store,the burglar opens several cabinets and safes looking for valuables
Burglary072_x264.mp4,three burglars break in a store at night,burglars wearing black clothes break in the glass window,the glass door is shattered for burglars to enter,burglars use a car to break in the store and steal,the main gate was shattered by the car belonging to the robbers
Burglary073_x264.mp4,a man is looking around the house window,a man tries to peak through the window of the house,the dog attacks a man snooping around the house,a man standing on the front porch looks for something,a dog ambushes the robber on the front porch of the house
Burglary074_x264.mp4,a few people are robbing an atm,a burglary is being committed at the atm,the burglars try to break open the atm machine to steal,a few men open the machine at the atm to steal money,a few people try to open the safe in the atm machine in a burglary
Burglary075_x264.mp4,a man tries to climb in through the window,a man standing on the street tries to break in a house,a robber looks around trying to open the window,a man tries to break in and enter a building,a house next to the footpath might be robbed by a man
Burglary076_x264.mp4,a man steals a television from the house,a burglar steals items and keeps them in his car,a house is being robbed by a man with a car,a man robs a television from the house and keeps it in his car,the burglar takes electronic items from the house
Burglary077_x264.mp4,a group of robbers rob a store,there is a burglary at the arms store,a few men commit a burglary at the gun store,the burglars break the glass shelves to steal the guns,a couple of burglars in black outfits rob a gun store
Burglary078_x264.mp4,a man wearing a cap breaks in the room,a man in a cap attempts burglary,the burglar with a cap breaks in and enters the room,a man looks around after breaking in the house,a man wearing a cap attempts a burglary
Burglary079_x264.mp4,a couple of people come in a car to rob,a few men try to break open the shutter,men come out of the car trunk to rob the garage,the burglars come in a car and attempt a robbery,the robbers try breaking in at the garage shutter
Burglary080_x264.mp4,a few robbers attempt to rob the atm machine,a pickup truck damages the atm machine to steal from it,the atm machine is destroyed and robbed,a few robbers take down the atm machine with a car,a pickup truck broke the atm machine in an attempted robbery
