Vandalism001_x264.mp4,Two people are standing with an electric saw. They try to vandalise by cutting the pole.,Two men cut an electric pole with a saw.,A pole is being vandalised with an electric saw.,People vandalise a silver-colored pole with a saw.,Person in the blue jacket is cutting a pole with an electric saw.
Vandalism002_x264.mp4,A man is trying to throw an object.,Man keeps throwing even after objects falls.,Another man enters and starts throwing too.,Both men are throwing the object.,Someone is throwing back the objects already thrown by two people.
Vandalism003_x264.mp4,Two kids are playing with their balls.,Two kids see two scooters parked on the road.,Two kids start pushing one scooter.,Two kids push the other scooter.,The scooter falls when it is pushed. 
Vandalism004_x264.mp4,Black car rams into the traffic signal.,Traffic signal is being vandalized by driver.,Car keeps ramming the traffic signal.,The car breaks all four barriers.,The barrier is broken by the car from all sides.
Vandalism005_x264.mp4,A man scratches the cars with some object.,Two cars are scratched by a man.,A man vandalises two cars.,The paint work of two cars is vandalized by a man.,The parked cars are scratched by a man.
Vandalism006_x264.mp4,A man is trying to break the door.,The man tries to break the door with a fire extinguisher.,Man is breaking the door with a bag.,A man is pushing the door with his leg.,Man is trying to open the door without the key.
Vandalism007_x264.mp4,Three men are trying to steal cars.,One man is checking all the cars to steal.,Person is kicking the car to check it.,The thieves are stealing cars.,The three men want to steal cars parked on the road.
Vandalism008_x264.mp4,Two men enter a shop and vandalize it.,One man breaks the glass window.,Person is seen throwing stuff at the shop.,Objects are thrown on the floor by the man.,Two men vandalise a shop and run away.
Vandalism009_x264.mp4,Three people are vandalising a store.,One person tries to break the window.,Another person punches the window to break it.,The window is being broken by some men.,A group of three men are trying to break the window.
Vandalism010_x264.mp4,Customer misbehaves with staff.,Customer hits the staff at the counter.,Customer breaks the computers.,Man tries to vandalise the shop.,Customer vandalizes the counter since he is angry.
Vandalism011_x264.mp4,Man throws all three dustbins on the ground.,Two people on the other side of the road throw dustbins.,Police approaches the men for vandalism.,Police asks the men to pick up the dustbins.,The people are seen picking up the garbage thrown by them.
Vandalism012_x264.mp4,Two men are vandalising the street.,One person throws the machine on the footpath.,The men run away after throwing.,Man throws the object at the corner of the road.,Street is being vandalized by people.
Vandalism013_x264.mp4,Three people break open the fence.,People are stealing the statues.,The men take away the show-piece.,The Christmas decoration is vandalized by three men.,Three people run away after stealing the statues.
Vandalism014_x264.mp4,A man is seen breaking a barrier.,The person pushes the barrier and breaks it.,Man is seen vandalizing the barrier.,Person wants to move ahead so he breaks the barrier.,Man walks away after breaking the barrier.
Vandalism015_x264.mp4,One person with a hammer wants to vandalize the shop.,Man is waiting to vandalize the shop.,The man breaks the glass.,Person tries to break the glass of the shop with a hammer.,The man runs away after breaking the glass.
Vandalism016_x264.mp4,A man comes in a white car.,Man comes out of the car and vandalizes the wall.,Person defaces the wall.,The man fiddles with the camera.,A man damages the camera.
